start,end,today,simserial,subscriberid,deviceid,phonenumber,audit,audit_URL,GPS,_GPS_latitude,_GPS_longitude,_GPS_altitude,_GPS_precision,Time1_Auto,VillageID,VillageIDRepeat,NoteInt1,NoteConst1,NoteConst2,Q11,Q12,Q1,Q2,Q3,Q4,Time2_Auto,Q5,Q7,Q6,Q8,Q8_other,Q9,Q9_1,Q9_1/1,Q9_1/2,Q9_1/3,Q9_1/4,Q9_1/5,Q9_1/6,Q9_1/7,Q9_1/8,Q9_1/9,Q9_1/10,Q9_1/11,Q9_1/12,Q9_1/13,Q9_1/14,Q9_1/16,Q9_1/888,Q9_1/999,Q9_1_other,Q10,Time3_Auto,Q13,Note15,Q14,Q14_1,Q14_2,Q14_3,Q14_3_other,Q15,Q15_1,Note16,Q16,Note17,Q17,Q18,Q19,Q20,Time4_Auto,Note211,Note212,Note2121,Note22,Q22,Q23,Q23/1,Q23/2,Q23/3,Q23/4,Q23/5,Note27,Q27_1,Q27_2,Q27_3,Q27_4,Time5_Auto,NoteBudget1,NoteBudget2,Randomize,NoteBudgetControl,NoteBudgetT1,NoteBudgetT2,NoteBudget3,Note28,Q28_Toggle,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_1_Total,Note28Error,Q36_1,Q36_1_Text,Q36,Q36_other,Note37,Q37_1,Q37_2,Q37_3,Q37_4,Note29,Q29,Q30,Q31,Q32,Q32/1,Q32/2,Q32/3,Q32/4,Q32/5,Q35,Q35_other,Note39,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Note46,Q46_1,Q46_2,Q46_3,Q46_4,Note47,Note48,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Note57,Note58,Q58,Q59,Q60,Q64,Q64_1,Q61,Q62,Time6_Auto,NotePost,Note67_1,Q67_Toggle,Q67_1_1,Q67_1_2,Q67_1_3,Q67_1_4,Q67_1_5,Q67_1_Total,Note68_1,Q68_Toggle,Q68_1_1,Q68_1_2,Q68_1_3,Q68_1_4,Q68_1_5,Q68_1_Total,Note69_1,Q69_Toggle,Q69_1_1,Q69_1_2,Q69_1_3,Q69_1_4,Q69_1_5,Q69_1_Total,Q69_2,Q69_3,Q69_3/1,Q69_3/2,Q69_3/3,Q69_4,Time7_Auto,NoteEnd,Time8_Auto,Q70,Q71,Q72,Q73,Q74,Q74_1,Q74_1/1,Q74_1/2,Q74_1/3,Q74_1/4,Q75,Q76,Q76_1,Q76_1/1,Q76_1/2,Q76_1/3,Q76_1/4,Q76_2,Q77,Q78,Q79,Q80,Q83,Q84,Q87,Q88,Q91,Q92,Q93,Q94,Q95,Calc95_Total,Note95Error,Q96,Q97,Note98,Q98_1,Q98_2,Q98_3,Note99,Q99_1,Q99_2,Q99_2/0,Q99_2/1,Q99_2/2,Q99_2/3,Q99_2/4,Q99_2/5,Q99_2_other,Q99_3,Q99_3/0,Q99_3/1,Q99_3/2,Q99_3/3,Q99_3/4,Q99_3/5,Q99_3_other,Q100,Q100_other,Q101,Q101_1,Q101_2,Time9_Auto,background-audio,background-audio_URL,__version__,_version_,_version__001,_version__002,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,_tags,_index
2022-05-10,2022-05-10,2022-05-10,,,collect:uJvywnVk59BPmFhG,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fe13c9e62-29bb-471d-a42b-d546cc645bde%2Faudit.csv,,,,,,2022-May-10 12:16:51,5103,5103,,,,1,1,Sandip samse,1,Twinkle yogesh barkhade,2,2022-May-10 12:16:51,Sonori,5,32,1,,1,,,,,,,,,,,,,,,,,,,,2,2022-May-10 12:16:51,1,,0,,,,,1,0,,1,,0,,,,2022-May-10 12:16:51,,,,,4,2 3,0,1,1,0,0,,3,,1,2,2022-May-10 12:16:51,,,1,,,,,,1,0,70,0,0,30,100,,2,???? ????? ??????? ????????? ???????,6,,,60,888,999,30,,4,1,1,1 2 3,1,1,1,0,0,4,,,1,1,1,,,0,0,,1,,2,3,,,3,0,,,,1,1,,,3,0,,1,1,,,2022-May-10 12:16:51,,,1,0,50,0,0,50,100,,1,0,50,0,0,50,100,,1,0,50,0,0,50,100,1,,,,,1,2022-May-10 12:16:51,,2022-May-10 12:16:51,1,2,1,1,0,,,,,,1,0,,,,,,,1,1,,,1,2,1,3,30,888,20,50,888,100,,2,2,,1,2,2,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,3,,1,1,1,2022-May-10 12:16:51,1652166354765.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fe13c9e62-29bb-471d-a42b-d546cc645bde%2F1652166354765.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156173816,e13c9e62-29bb-471d-a42b-d546cc645bde,2022-05-10,,,submitted_via_web,acrossdata,,1
2022-05-11,2022-05-11,2022-05-11,,,collect:Z6GD89v0LhbAWt9B,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F4c0aa7fa-457d-436b-8901-6f75ab8761a0%2Faudit.csv,,,,,,2022-May-11 11:10:36,5202,5202,,,,1,1,Prashant kute,1,Vaishnavi R.Giri ,2,2022-May-11 11:10:36,Bhaipur ,5,28,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-11 11:10:36,1,,1,Prakash raut ,1,1,,1,0,,1,,3,1,1,0,2022-May-11 11:10:36,,,,,4,3 1 2,1,1,1,0,0,,2,1,3,4,2022-May-11 11:10:36,,,1,,,,,,1,0,0,0,0,100,100,,5,????? ????????? ??????????? ?????????? ???????,1,,,10,0,10,10,,4,1,0,3 1,1,0,1,0,0,3,,,1,1,0,0,,1,1,,4,0,1,3,,,3,1,1,0,,1,1,,,4,1,0,1,2,0,,2022-May-11 11:10:36,,,1,30,20,20,10,20,100,,1,30,30,10,0,30,100,,1,20,20,0,0,70,110,1,,,,,1,2022-May-11 11:10:36,,2022-May-11 11:10:36,1,3,0,1,1,3 2,0,1,1,0,0,0,,,,,,,0,1,0,,1,3,1,1,20,0,10,70,0,100,,1,1,,3,1,2,,1,1 2 3,0,1,1,1,0,0,,0,1,0,0,0,0,0,,3,,1,1,1,2022-May-11 11:10:36,1652248765777.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F4c0aa7fa-457d-436b-8901-6f75ab8761a0%2F1652248765777.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156378554,4c0aa7fa-457d-436b-8901-6f75ab8761a0,2022-05-11,,,submitted_via_web,acrossdata,,2
2022-05-11,2022-05-11,2022-05-11,,,collect:ZARQWen2yelBQp6E,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F5ff50cbb-249e-45d5-8319-b2353bae3b5a%2Faudit.csv,,,,,,2022-May-11 12:34:17,5113,5113,,,,1,1,Tipanna pujari,1,Rukmini shivsharan,2,2022-May-11 12:34:17,Kurankheda,5,32,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-11 12:34:17,1,,0,,,,,1,0,,1,,0,,,,2022-May-11 12:34:17,,,,,1,1 3,1,0,1,0,0,,1,,2,3,2022-May-11 12:34:17,,,2,,,,,,1,0,70,10,10,10,100,,2,???? ????? ??????? ????????? ???????,7,,,10,8888,999,25,,1,1,1,1 3 2,1,1,1,0,0,4,,,1,1,1,,,0,0,,1,,3,2,,,3,0,,,,1,1,,,4,0,,1,2,,,2022-May-11 12:34:17,,,1,0,70,10,10,10,100,,1,10,60,20,10,0,100,,1,15,50,15,10,10,100,1,,,,,1,2022-May-11 12:34:17,,2022-May-11 12:34:17,1,1,1,0,0,,,,,,0,0,,,,,,,0,0,,,0,,1,2,40,888,20,40,888,100,,1,1,,1,3,1,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,1,,0,,,2022-May-11 12:34:17,1652253635591.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F5ff50cbb-249e-45d5-8319-b2353bae3b5a%2F1652253635591.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156380404,5ff50cbb-249e-45d5-8319-b2353bae3b5a,2022-05-11,,,submitted_via_web,acrossdata,,3
2022-05-11,2022-05-11,2022-05-11,,,collect:ZbsL7tY1ICJ8NiQF,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F9b30f3f4-9f3a-4563-a1b5-8bec555751cc%2Faudit.csv,,,,,,2022-May-11 13:05:29,5204,5204,,,,1,1,Vaibhav Khandare,1,Aparna Bodhalkar,2,2022-May-11 13:05:29,Bhilapur,5,30,1,,1,,,,,,,,,,,,,,,,,,,,2,2022-May-11 13:05:29,1,,1,Chandrasekhar Sabale,1,1,,1,0,,1,,2,1,0,0,2022-May-11 13:05:29,,,,,4,1 3,1,0,1,0,0,,1,4,2,3,2022-May-11 13:05:29,,,1,,,,,,1,20,20,20,20,20,100,,5,????? ????????? ??????????? ?????????? ???????,9,,,10,8888,15,10,,4,1,0,1 3 2,1,1,1,0,0,4,,,1,1,2,0,,0,1,,1,4,2,3,,,3,0,,0,,1,1,,,4,0,,1,2,0,,2022-May-11 13:05:29,,,1,20,20,40,10,10,100,,1,10,20,40,20,10,100,,1,10,20,40,10,20,100,0,1 3,1,0,1,1,2022-May-11 13:05:29,,2022-May-11 13:05:29,1,2,0,1,0,,,,,,0,1,3,0,0,1,0,0,1,1,0,,0,,1,1,25,0,25,50,0,100,,1,1,,1,2,1,,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,1,,1,1,1,2022-May-11 13:05:29,1652255805389.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F9b30f3f4-9f3a-4563-a1b5-8bec555751cc%2F1652255805389.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156387617,9b30f3f4-9f3a-4563-a1b5-8bec555751cc,2022-05-11,,,submitted_via_web,acrossdata,,4
2022-05-11,2022-05-11,2022-05-11,,,collect:mAdDxmAftC3yrEi8,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F17337131-2ef1-4426-9e3e-3d9176e0d909%2Faudit.csv,,,,,,2022-May-11 11:54:48,5206,5206,,,,1,1,Twinkal ,2,Sandip Samse,1,2022-May-11 11:54:48,Dhamangaon,5,30,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-11 11:54:48,1,,0,,,,,1,0,,1,,0,,,,2022-May-11 11:54:48,,,,,4,2 3 1,1,1,1,0,0,,2,,1,3,2022-May-11 11:54:48,,,2,,,,,,1,0,100,0,0,0,100,,2,???? ????? ??????? ????????? ???????,10,Nala bhadnikarn,,30,8888,30,25,,4,1,1,1 2 3,1,1,1,0,0,2,,,1,1,0,,,1,1,,3,,1,2,,,4,0,,,,1,1,,,4,0,,1,2,,,2022-May-11 11:54:48,,,1,30,30,40,0,0,100,,1,20,60,20,20,0,120,,1,30,30,40,0,0,100,1,,,,,1,2022-May-11 11:54:48,,2022-May-11 11:54:48,0,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,20,888,40,40,888,100,,2,2,,2,2,2,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,3,,1,1,1,2022-May-11 11:54:48,1652251048759.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F17337131-2ef1-4426-9e3e-3d9176e0d909%2F1652251048759.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156397991,17337131-2ef1-4426-9e3e-3d9176e0d909,2022-05-11,,,submitted_via_web,acrossdata,,5
2022-05-12,2022-05-12,2022-05-12,,,collect:uJvywnVk59BPmFhG,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F9f49a6f5-d7e8-469f-8c79-5b96c5b810cf%2Faudit.csv,,,,,,2022-May-12 12:34:50,5203,5203,,,,1,1,Sandip samse,1,Twinkal yogesh barkhade,2,2022-May-12 12:34:50,Bhambora,5,30,1,,1,,,,,,,,,,,,,,,,,,,,2,2022-May-12 12:34:50,1,,0,,,,,1,0,,1,,0,,,,2022-May-12 12:34:50,,,,,4,1 3 2,1,1,1,0,0,,2,,1,3,2022-May-12 12:34:50,,,3,,,,,,1,50,0,0,0,50,100,,3,?????????? ???????????? ???????,7,,,15,8888,30,20,,1,1,0,1 2 3,1,1,1,0,0,3,,,3,0,,,,1,1,,2,,1,3,,,1,1,1,,,1,1,,,4,0,,1,1,,,2022-May-12 12:34:50,,,1,25,0,75,0,0,100,,1,30,0,0,20,50,100,,1,20,20,50,0,10,100,1,,,,,1,2022-May-12 12:34:50,,2022-May-12 12:34:50,1,2,1,0,0,,,,,,0,1,3,0,0,1,0,1,0,1,,,1,2,1,1,20,0,30,50,0,100,,1,2,,1,2,1,,1,1 2 3,0,1,1,1,0,0,,0,1,0,0,0,0,0,,3,,1,1,1,2022-May-12 12:34:50,1652340043469.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F9f49a6f5-d7e8-469f-8c79-5b96c5b810cf%2F1652340043469.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156580301,9f49a6f5-d7e8-469f-8c79-5b96c5b810cf,2022-05-12,,,submitted_via_web,acrossdata,,6
2022-05-12,2022-05-12,2022-05-12,,,collect:gaOfiW0PFJKEleBl,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fbecc9924-9e8e-4720-b4ed-25e0282cb59b%2Faudit.csv,,,,,,2022-May-12 11:51:48,5107,5107,,,,1,1,Rukmini shivsharan ,2,Tipanna pujari ,1,2022-May-12 11:51:48,Nimkheda ,5,32,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-12 11:51:48,1,,0,,,,,1,0,,1,,1,0,0,0,2022-May-12 11:51:48,,,,,1,2 3 1,1,1,1,0,0,,1,,2,3,2022-May-12 11:51:48,,,2,,,,,,1,20,20,20,20,20,100,,2,???? ????? ??????? ????????? ???????,6,,,30,888,20,25,,1,1,1,2 3,0,1,1,0,0,3,,,1,1,1,,,0,0,,1,,3,2,,,3,1,1,,,1,1,,,4,0,,1,2,,,2022-May-12 11:51:48,,,1,15,50,15,10,10,100,,1,15,50,15,10,10,100,,1,10,50,20,10,10,100,0,1 2,1,1,0,1,2022-May-12 11:51:48,,2022-May-12 11:51:48,1,1,1,0,1,2,0,1,0,0,1,1,3,0,0,1,0,0,1,1,,,1,2,1,1,40,888,20,40,0,100,,1,1,,1,3,1,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,3,,0,,,2022-May-12 11:51:48,1652337297105.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fbecc9924-9e8e-4720-b4ed-25e0282cb59b%2F1652337297105.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156623178,becc9924-9e8e-4720-b4ed-25e0282cb59b,2022-05-12,,,submitted_via_web,acrossdata,,7
2022-05-12,2022-05-12,2022-05-12,,,collect:OsDoLUM50PkoHZg9,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fd83cd14a-093b-48cd-a649-d261b0ed7c49%2Faudit.csv,,,,,,2022-May-12 11:33:31,5207,5207,,,,1,1,Vaishnavi giri,2,Prashant kute,1,2022-May-12 11:33:31,Dhanora,5,30,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-12 11:33:31,1,,0,,,,,1,0,,1,,0,,,,2022-May-12 11:33:31,,,,,4,1,1,0,0,0,0,,2,,1,3,2022-May-12 11:33:31,,,3,,,,,,1,10,40,20,20,10,100,,2,???? ????? ??????? ????????? ???????,7,,,20,888,30,20,,1,1,2,1 3,1,0,1,0,0,3,,,4,1,2,,,0,1,,1,,2,3,,,1,1,2,,,1,1,,,1,0,0,1,1,,,2022-May-12 11:33:31,,,1,8,45,10,7,30,100,,1,25,20,30,10,15,100,,1,15,30,25,5,25,100,1,,,,,1,2022-May-12 11:33:31,,2022-May-12 11:33:31,1,1,0,0,0,,,,,,0,0,,,,,,,1,0,,,0,,1,3,40,888,20,40,888,100,,2,2,,1,3,3,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,1,,1,1,0,2022-May-12 11:33:31,1652337005193.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Fd83cd14a-093b-48cd-a649-d261b0ed7c49%2F1652337005193.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156646277,d83cd14a-093b-48cd-a649-d261b0ed7c49,2022-05-12,,,submitted_via_web,acrossdata,,8
2022-05-13,2022-05-13,2022-05-13,,,collect:Z6GD89v0LhbAWt9B,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F43b6f280-90d3-4bd2-9ae0-d166f331a836%2Faudit.csv,,,,,,2022-May-13 10:48:57,5210,5210,,,,1,1,Prashant kute ,1,Vaishnavi R.Giri ,2,2022-May-13 10:48:57,Ghodgavhan ,5,28,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-13 10:48:57,1,,0,,,,,1,0,,1,,6,1,0,0,2022-May-13 10:48:57,,,,,4,3 2 1,1,1,1,0,0,,4,,1,2,2022-May-13 10:48:57,,,2,,,,,,1,20,20,10,10,40,100,,1,?????????? ???????,2,,,10,8888,999,5,,4,0,,2 1 3,1,1,1,0,0,2,,,1,1,0,,,0,0,,4,,1,2,,,3,1,0,,,1,1,,,4,0,,1,1,,,2022-May-13 10:48:57,,,1,20,20,25,10,25,100,,1,15,10,20,20,35,100,,1,20,20,25,10,25,100,0,1,1,0,0,1,2022-May-13 10:48:57,,2022-May-13 10:48:57,1,3,0,1,1,2,0,1,0,0,0,0,,,,,,,1,0,,,1,2,1,2,8,888,45,42,5,100,,1,1,,3,1,3,,0,1 2,0,1,1,0,0,0,,0,1,0,0,0,0,0,,0,,0,,,2022-May-13 10:48:57,1652420364983.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2F43b6f280-90d3-4bd2-9ae0-d166f331a836%2F1652420364983.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156772552,43b6f280-90d3-4bd2-9ae0-d166f331a836,2022-05-13,,,submitted_via_web,acrossdata,,9
2022-05-13,2022-05-13,2022-05-13,,,collect:mAdDxmAftC3yrEi8,,audit.csv,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Ff67d0272-ff6a-4713-93f7-707fcbd0ea52%2Faudit.csv,,,,,,2022-May-13 10:56:40,5211,5211,,,,1,1,Twinkal,2,Sandip Pandurang Samse,1,2022-May-13 10:56:40,Katsur,5,30,1,,1,,,,,,,,,,,,,,,,,,,,1,2022-May-13 10:56:40,1,,0,,,,,1,0,,1,,0,,,,2022-May-13 10:56:40,,,,,3,2 3,0,1,1,0,0,,3,,2,1,2022-May-13 10:56:40,,,1,,,,,,1,0,100,0,0,0,100,,2,???? ????? ??????? ????????? ???????,6,,,30,8888,30,30,,3,1,1,1 2 3,1,1,1,0,0,3,,,1,1,1,,,1,1,,3,,2,1,,,3,0,,,,1,2,,,4,0,,1,2,,,2022-May-13 10:56:40,,,1,30,20,20,10,20,100,,1,100,0,0,0,0,100,,1,10,20,20,0,50,100,1,,,,,1,2022-May-13 10:56:40,,2022-May-13 10:56:40,1,2,1,1,0,,,,,,1,1,2,0,1,0,0,1,1,1,,,1,2,1,1,20,888,40,40,0,100,,1,2,,1,2,1,,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,,2,,1,1,1,2022-May-13 10:56:40,1652420529553.amr,https://kc.kobotoolbox.org/media/original?media_file=geeklord%2Fattachments%2F6d4817e2117e43cb8c84e2627013e582%2Ff67d0272-ff6a-4713-93f7-707fcbd0ea52%2F1652420529553.amr,vtjXBenaKMW6cLddBExK9E,vafXx8DqArDhcq5SSyTguJ,vJKFJjCqjiUx5Movkggbgd,vYuRmU4Qg2fC9oS7vZjyui,156785478,f67d0272-ff6a-4713-93f7-707fcbd0ea52,2022-05-13,,,submitted_via_web,acrossdata,,10
