village_id,reservation_sex,reservation_caste,gram_sevak_sex,village_name
2101,F,O,F,Karhavajag
2102,F,O,F,Naroli grampanchayat
2103,F,OBC,F,Dhakle grampanchayat
2104,F,OBC,F,Ghadgewadi grampanchayat
2105,F,SC,F,Baburdi
2106,F,O,M,Gojubavi grampanchayat
2107,F,O,M,Barnapur
2108,F,OBC,M,Medad grampanchayat
2109,F,OBC,M,Shirsane
2110,F,SC,M,Dhumalwadi grampanchayat
2111,F,SC,M,Zarakadawadi
2112,M,O,M,Katewadi
2113,M,O,M,Malegaon budruk grampanchayat
2114,M,OBC,M,Gadikhel
2116,M,SC,M,Undavadi supe
2117,M,SC,M,Dorlewadi
2118,M,O,F,Anjangaon grampanchayat
2119,M,O,F,Pawaimal grampanchayat
2120,M,OBC,F,Deulgaon grampanchayat
2121,M,OBC,F,Kurnewadi
2122,M,OBC,F,Magarwadi
2123,M,SC,F,Kutwalwadi grampanchayat
2124,M,SC,M,Vaki
2201,F,O,F,Pilanwadi
2202,F,O,F,Undavadi
2203,F,OBC,F,Deulgaon gada
2204,F,OBC,F,Hatvalan
2205,F,SC,M,Nanvij
2206,F,SC,M,Dalimb
2207,F,O,M,Paragao
2208,F,O,M,Boripardhi
2209,F,OBC,M,Devulgaon raje
2210,F,OBC,M,Pandharewadi
2211,F,SC,M,Hingni Berdi
2212,F,SC,M,Kadethan
2213,M,O,F,Devkarwadi
2214,M,OBC,M,Varvand
2217,M,SC,F,Gopalwadi
2218,M,SC,M,Khopodi
2220,M,O,M,Jiregaon
2222,M,OBC,M,Patas
2223,M,SC,M,Lonarwadi
2224,M,SC,M,Vasunde
2225,M,SC,M,Kedgoan
2301,F,O,M,Rase
2302,F,O,F,Gulani
2303,F,OBC,F,Ranmala
2304,F,OBC,F,SIDDHEGAVHAN
2305,F,SC,F,Yeniye bk
2306,F,O,M,Vafagoav
2307,F,O,M,Kadus
2308,F,OBC,M,Davadi
2309,F,OBC,M,Papalwadi
2310,F,SC,M,Golegoav
2312,M,O,M,Kalus
2313,M,O,F,Rohkal
2314,M,O,F,Ahire
2316,M,OBC,F,Kelgoav
2317,M,OBC,F,Vetale
2318,M,SC,F,Yeniye kh
2320,M,O,F,Mohkal
2321,M,O,M,Nimgaon
2322,M,O,M,Bhamboli
2324,M,OBC,M,Bahirwadi
2315,M,OBC,F,Gosasi
2325,M,SC,M,Nighoje
2402,F,O,F,Andgaon
2406,F,O,M,Kasaraamboli
2407,F,O,M,Uravade
2409,F,OBC,M,Paud
2412,M,O,F,Malegao
2414,M,O,F,Marnewadi
2415,M,OBC,F,Kolawade
2416,M,SC,F,Akole
2419,M,OBC,M,Hadashi
2422,M,SC,M,Maan
2501,F,O,F,Gunand grampanchayat
2502,F,O,F,Tambhad
2503,F,OBC,F,Aalande grampanchayat
2504,F,OBC,F,Pande grampanchayat
2505,F,SC,M,Kambre kheba
2506,F,O,M,Sarole
2507,F,O,M,Angsule
2508,F,OBC,M,Ingavale
2510,F,SC,M,Male grampanchayat
2511,F,SC,M,Panval
2512,M,O,F,Salungan
2513,M,O,F,Pisavare
2514,M,O,F,Kamthadi
2515,M,OBC,F,Harishchandri
2517,M,SC,F,Pale
2518,M,O,M,Palsoshi
2521,M,OBC,M,Ambade
2522,M,SC,M,Nere
2516,M,O,M,Velvand
2519,M,O,M,Morawadi
