village_id,gram_sevak_sex,village_name
4415,F,Sarai
4404,M,Khirdi
4409,M,Yesgaon
4402,F,Bodhka
4403,F,Dhamangaon
4401,M,Bhadji
4406,F,Palswadi
4410,F,Daregaon
4413,F,Nirgudi Bk
4407,M,Tajnapur
4414,F,Pimpri
4411,M,Kasbkheda
4412,M,Loni group
4405,M,Mhaismal 
4301,M,Jalgaon mete
4101,M,Aadhaon (Kh)
4314,M,Dhanora
4104,M,Chauka
4408,M,Tisgaon tanda
4311,M,Aadagaon kh
4106,F,Darakwadi
4108,M,Duhad
4302,M,Murshidabadwadi
4102,F,Bakapur group grampanchyat
4113,M,Kachaner
4320,F,Wawana padali
4110,F,Gopalpur
4105,M,Dayghavan
4114,F,Karajgaon
4129,M,Waladgaon
4116,F,Mangrul
4107,M,Demani
4109,M,Girnera
4115,M,Khodegaon
4118,M,Naigaon
4122,M,Pirwadi
4128,F,Tongaon
4304,M,Nimkheda
4120,F,Pokhari
4308,F,Ranjangaon
4112,M,Jodwadi 
4119,M,Palshi
4121,F,Pardari
4303,M,Dongargaon Shev
4124,M,Ravraspura
4306,F,Jatwa
4309,F,Dhamangaon
4307,M,Nidhona
4202,M,Ektuni
4208,M,Takli aabad
4210,F,Wadji
4209,M,Wahegaon
4305,F,Umravati
4205,F,Sonwadi BK
4213,M,Hiradpuri 
4218,M,Kapuswadi
4214,F,Harshi kh
4206,F,Harshi bk
4310,M,Chincholi Bk
4313,M,Shirodi khurd
4225,M,Salvadgao
4217,F,Ranjangaon khuri
4215,F,Esarwadi
4227,M,Vadwali
4312,M,Liga Jahangir
4222,F,Krushnapur
4220,M,Adhul kh
4316,M,Pirbawada
4221,F,Mulani vadgaon
4228,M,Bokud Jalgoan
4201,M,Paithan kheda
4207,M,Vihamandva 
4212,F,Koli bavda
4216,M,Ranjnagaon Danda
4503,F,Sindhi shirasgaon
4517,M,Shahapur Banjar
4513,M,Shahapur
4226,F,Shevata
4519,F,Eklehra
4505,M,Dinwada
4518,F,Dewali
4511,M,Shiregaon
4521,F,Malkapur
4522,F,Sultanabad
4515,M,Maliwadgaon
4508,M,Babargaon 
4509,M,Kankori
4516,F,Kinhal
4525,F,Ranjangaon pol
4524,M,Domegaon
4501,M,Ranjangaon shenpunji
4507,M,Wadali
4224,F,Jambali
4527,F,Dhanori kh
4601,F,Kaoudgaon Ambadgaon
4203,M,Dhabhrul 
4616,F,Dhoregaon
4618,F,Raypur
4615,F,Varzadi
4510,M,Tandulwadi
4609,F,Varudi bk
4603,F,Chitegaon
4606,M,Bhidon
4602,F,Taklimali
4611,F,Pachod khurd
4607,M,Warudwadi
4619,F,Agarwadgaon
4604,M,Donwada 
4610,F,Parundi 
4621,F,Nandrabad
4315,M,Gevrai Gungi
4605,M,Patoda
4617,F,Pachpirwadi
4204,F,Babhulgaon
4614,M,Waghalgaon
4622,M,Narayanpur BK
4612,M,Dawarwadi
4523,F,Vajanapur
4623,M,Turkabad kh
4624,M,Buttewadgaon
