year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Drinking water, 0, 0, 0, 0, 0, 0, 350000, 350000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 1700000, 1700000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Health, 0, 0, 0, 0, 0, 0, 500000, 500000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Land improvement, 0, 0, 0, 0, 0, 0, 400000, 400000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Maintenance of community system, 0, 0, 0, 0, 0, 0, 1200000, 1200000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Roads, 0, 0, 0, 0, 0, 0, 18400000, 18400000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Sanitation, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2388684, Total, 0, 0, 0, 0, 0, 0, 24450000, 24450000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Drinking water, 0, 0, 0, 0, 0, 0, 740000, 740000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Health, 0, 0, 0, 0, 0, 0, 400000, 400000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Markets and fairs, 0, 0, 0, 0, 0, 0, 3000000, 3000000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Roads, 0, 0, 0, 0, 0, 0, 22085000, 22085000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 300000, 300000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, GANDHI NAGAR, 245696, 2093577, Total, 0, 0, 0, 0, 0, 0, 26525000, 26525000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Drinking water, 0, 0, 0, 0, 0, 0, 1594067, 1594067
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 650000, 650000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Health, 0, 0, 0, 0, 0, 0, 1700000, 1700000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Maintenance of community system, 0, 0, 0, 0, 0, 0, 650000, 650000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Markets and fairs, 0, 0, 0, 0, 0, 0, 300000, 300000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Roads, 0, 0, 0, 0, 0, 0, 14900000, 14900000
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Rural electrification, 0, 0, 0, 0, 0, 0, 459718, 459718
2019, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2371300, Total, 0, 0, 0, 0, 0, 0, 20253785, 20253785
