A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 1950000, 1950000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 300000, 300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Agriculture, 0, 0, 0, 0, 0, 0, 850000, 850000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Cultural activities, 0, 0, 0, 0, 0, 0, 3500000, 3500000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Drinking water, 0, 0, 0, 0, 0, 0, 4410000, 4410000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Education, 0, 0, 0, 0, 0, 0, 1500000, 1500000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 3250000, 3250000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Maintenance of community system, 0, 0, 0, 0, 0, 0, 15900000, 15900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Markets and fairs, 0, 0, 0, 0, 0, 0, 600000, 600000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Roads, 0, 0, 0, 0, 0, 0, 31450000, 31450000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Rural electrification, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Sanitation, 0, 0, 0, 0, 0, 0, 5700000, 5700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Welfare of the weaker sections, 0, 0, 0, 0, 0, 0, 150000, 150000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Women and child development, 0, 0, 0, 0, 0, 0, 950000, 950000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KALIGHAT, 234466, 2804799, Total, 0, 0, 0, 0, 0, 0, 72410000, 72410000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Cultural activities, 0, 0, 0, 0, 0, 0, 200000, 200000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Drinking water, 0, 0, 0, 0, 0, 0, 2250000, 2250000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 5000000, 5000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Health, 0, 0, 0, 0, 0, 0, 300000, 300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Maintenance of community system, 0, 0, 0, 0, 0, 0, 3300000, 3300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Roads, 0, 0, 0, 0, 0, 0, 17000000, 17000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Sanitation, 0, 0, 0, 0, 0, 0, 7600000, 7600000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, DIGLIPUR, 234465, 2806123, Total, 0, 0, 0, 0, 0, 0, 35650000, 35650000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 700000, 700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Drinking water, 0, 0, 0, 0, 0, 0, 3800000, 3800000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Education, 0, 0, 0, 0, 0, 0, 500000, 500000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 900000, 900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Maintenance of community system, 0, 0, 0, 0, 0, 0, 3700000, 3700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Markets and fairs, 0, 0, 0, 0, 0, 0, 2400000, 2400000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Roads, 0, 0, 0, 0, 0, 0, 20000000, 20000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Sanitation, 0, 0, 0, 0, 0, 0, 700000, 700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Women and child development, 0, 0, 0, 0, 0, 0, 600000, 600000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, KISHORINAGAR, 234468, 2803003, Total, 0, 0, 0, 0, 0, 0, 33300000, 33300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 1700000, 1700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Animal husbandry, 0, 0, 0, 0, 0, 0, 100000, 100000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Cultural activities, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Drinking water, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Maintenance of community system, 0, 0, 0, 0, 0, 0, 4900000, 4900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Roads, 0, 0, 0, 0, 0, 0, 18300000, 18300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Rural electrification, 0, 0, 0, 0, 0, 0, 900000, 900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Sanitation, 0, 0, 0, 0, 0, 0, 2670000, 2670000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, SHIBPUR, 234475, 2809889, Total, 0, 0, 0, 0, 0, 0, 30570000, 30570000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 200000, 200000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 900000, 900000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Land improvement, 0, 0, 0, 0, 0, 0, 300000, 300000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Maintenance of community system, 0, 0, 0, 0, 0, 0, 3200000, 3200000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Markets and fairs, 0, 0, 0, 0, 0, 0, 500000, 500000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Roads, 0, 0, 0, 0, 0, 0, 16600000, 16600000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Rural electrification, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Sanitation, 0, 0, 0, 0, 0, 0, 2040000, 2040000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Women and child development, 0, 0, 0, 0, 0, 0, 800000, 800000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, NABAGRAM, 234471, 2794303, Total, 0, 0, 0, 0, 0, 0, 25540000, 25540000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, LAXMIPUR, 234469, 2807984, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 700000, 700000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, LAXMIPUR, 234469, 2807984, Cultural activities, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2020, ANDAMAN AND NICOBAR ISLANDS, 35, NORTH AND MIDDLE ANDAMAN, 576, DIGLIPUR, 6793, LAXMIPUR, 234469, 2807984, Drinking water, 0, 0, 0, 0, 0, 0, 5900000, 5900000
