year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2015, ANDHRA PRADESH, 28, CHITTOOR, 459, VIJAYAPURAM, 5163, SRIHARIPURAM, 198062, 1005788, Roads, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, ANDHRA PRADESH, 28, CHITTOOR, 459, VIJAYAPURAM, 5163, SRIHARIPURAM, 198062, 1005788, Total, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 6000, 6000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Drinking water, 0, 0, 0, 0, 0, 0, 129467, 129467
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Health & Sanitation, 0, 0, 0, 0, 0, 0, 16141, 16141
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Maintenance of community system, 0, 0, 0, 0, 0, 0, 6000, 6000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Roads, 0, 0, 0, 0, 0, 0, 5130745, 5130745
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Rural electrification, 0, 0, 0, 0, 0, 0, 3053587, 3053587
2015, ANDHRA PRADESH, 28, GUNTUR, 462, CHEBROLE, 5281, CHEBROLU, 200067, 1072383, Total, 0, 0, 0, 0, 0, 0, 8341940, 8341940
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 244500, 244500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Drinking water, 0, 0, 0, 0, 0, 0, 79500, 79500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Education, 0, 0, 0, 0, 0, 0, 26500, 26500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 53000, 53000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Roads, 0, 0, 0, 0, 0, 0, 1253000, 1253000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Rural electrification, 0, 0, 0, 0, 0, 0, 249500, 249500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Sanitation, 0, 0, 0, 0, 0, 0, 79500, 79500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, KOLLIPARA, 5294, CHIVALURU, 200288, 1928538, Total, 0, 0, 0, 0, 0, 0, 1985500, 1985500
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, JANGALAPALLY, 200420, 1157227, Drinking water, 0, 0, 0, 0, 0, 0, 3595, 3595
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, JANGALAPALLY, 200420, 1157227, Sanitation, 0, 0, 0, 0, 0, 0, 43211, 43211
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, JANGALAPALLY, 200420, 1157227, Total, 0, 0, 0, 0, 0, 0, 46806, 46806
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, SANKURATRIPADU, 200423, 1157258, Drinking water, 0, 0, 0, 0, 0, 0, 283943, 283943
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, SANKURATRIPADU, 200423, 1157258, Rural electrification, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, SANKURATRIPADU, 200423, 1157258, Total, 0, 0, 0, 0, 0, 0, 333943, 333943
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, TUBADU, 200425, 1154007, Drinking water, 0, 0, 0, 0, 0, 0, 40764, 40764
2015, ANDHRA PRADESH, 28, GUNTUR, 462, NADENDLA, 5302, TUBADU, 200425, 1154007, Total, 0, 0, 0, 0, 0, 0, 40764, 40764
2015, ANDHRA PRADESH, 28, GUNTUR, 462, PITTALAVANIPALEM, 5313, PITTALAVANIPALEM, 200615, 1727786, Roads, 0, 0, 0, 0, 0, 0, 522509, 522509
2015, ANDHRA PRADESH, 28, GUNTUR, 462, PITTALAVANIPALEM, 5313, PITTALAVANIPALEM, 200615, 1727786, Total, 0, 0, 0, 0, 0, 0, 522509, 522509
2015, ANDHRA PRADESH, 28, GUNTUR, 462, TADEPALLE, 5322, PENUMAKA, 200784, 1144934, Rural electrification, 0, 0, 0, 0, 0, 0, 313920, 313920
2015, ANDHRA PRADESH, 28, GUNTUR, 462, TADEPALLE, 5322, PENUMAKA, 200784, 1144934, Total, 0, 0, 0, 0, 0, 0, 313920, 313920
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Drinking water, 0, 0, 0, 0, 16547, 0, 110047, 126594
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Maintenance of community system, 0, 0, 0, 0, 0, 0, 42146, 42146
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Roads, 0, 0, 0, 0, 0, 0, 107754, 107754
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Rural electrification, 0, 0, 0, 0, 0, 0, 2303, 2303
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Sanitation, 0, 0, 0, 0, 0, 0, 9364, 9364
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, AVULADODDI, 204078, 1076005, Total, 0, 0, 0, 0, 16547, 0, 271614, 288161
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, CHINNA MALKAPURAM, 204080, 1090207, Drinking water, 0, 0, 0, 0, 267338, 0, 663631, 930969
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, CHINNA MALKAPURAM, 204080, 1090207, Maintenance of community system, 0, 0, 0, 0, 53073, 0, 0, 53073
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, CHINNA MALKAPURAM, 204080, 1090207, Roads, 0, 0, 0, 0, 0, 0, 14968, 14968
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, CHINNA MALKAPURAM, 204080, 1090207, Rural electrification, 0, 0, 0, 0, 29589, 0, 425969, 455558
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, CHINNA MALKAPURAM, 204080, 1090207, Total, 0, 0, 0, 0, 350000, 0, 1104568, 1454568
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMAGANIKUNTLA, 204088, 1080387, Drinking water, 0, 0, 0, 0, 0, 0, 332418, 332418
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMAGANIKUNTLA, 204088, 1080387, Roads, 0, 0, 0, 0, 0, 0, 506677, 506677
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMAGANIKUNTLA, 204088, 1080387, Sanitation, 0, 0, 0, 0, 0, 0, 5084, 5084
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMAGANIKUNTLA, 204088, 1080387, Total, 0, 0, 0, 0, 0, 0, 844179, 844179
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMALAPURAM, 204089, 1086780, Drinking water, 0, 0, 0, 0, 0, 0, 246810, 246810
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMALAPURAM, 204089, 1086780, Roads, 0, 0, 0, 0, 0, 0, 173979, 173979
2015, ANDHRA PRADESH, 28, KURNOOL, 466, DHONE ALIAS DRONACHALAM, 5495, KAMALAPURAM, 204089, 1086780, Total, 0, 0, 0, 0, 0, 0, 420789, 420789
2015, ANDHRA PRADESH, 28, KURNOOL, 466, GUDUR, 5500, MUNAGALA, 204171, 1927755, Drinking water, 0, 0, 0, 0, 0, 0, 163000, 163000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, GUDUR, 5500, MUNAGALA, 204171, 1927755, Roads, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, GUDUR, 5500, MUNAGALA, 204171, 1927755, Total, 0, 0, 0, 0, 0, 0, 363000, 363000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KOLIMIGUNDLA, 5507, ERRAGUDI, 204276, 1076231, Roads, 0, 0, 0, 0, 0, 0, 313928, 313928
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KOLIMIGUNDLA, 5507, ERRAGUDI, 204276, 1076231, Total, 0, 0, 0, 0, 0, 0, 313928, 313928
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, DEVAMADA, 204360, 1937445, Drinking water, 0, 0, 0, 0, 0, 0, 52475, 52475
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, DEVAMADA, 204360, 1937445, Roads, 0, 0, 0, 0, 0, 0, 114118, 114118
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, DEVAMADA, 204360, 1937445, Total, 0, 0, 0, 0, 0, 0, 166593, 166593
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, SIVARAMAPURAM, 204379, 1927595, Drinking water, 0, 0, 0, 0, 0, 0, 75000, 75000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, SIVARAMAPURAM, 204379, 1927595, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, SIVARAMAPURAM, 204379, 1927595, Maintenance of community system, 0, 0, 0, 0, 0, 0, 25000, 25000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, SIVARAMAPURAM, 204379, 1927595, Roads, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, ANDHRA PRADESH, 28, KURNOOL, 466, KURNOOL, 5512, SIVARAMAPURAM, 204379, 1927595, Rural electrification, 0, 0, 0, 0, 0, 0, 75000, 75000
