2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, BANGTE, 102513, 1750357, Health, 0, 0, 0, 0, 0, 0, 410121, 410121
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, BANGTE, 102513, 1750357, Women and child development, 0, 0, 0, 0, 0, 0, 410121, 410121
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, BANGTE, 102513, 1750357, Total, 0, 0, 0, 0, 0, 0, 820242, 820242
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, AMJI, 102512, 1805651, Education, 0, 0, 0, 0, 0, 0, 341912, 341912
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, AMJI, 102512, 1805651, Roads, 0, 0, 0, 0, 0, 0, 341912, 341912
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, AMJI, 102512, 1805651, Total, 0, 0, 0, 0, 0, 0, 683824, 683824
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, CHOBA-TAHA, 102514, 1667878, Roads, 0, 0, 0, 0, 0, 0, 657794, 657794
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, CHOBA-TAHA, 102514, 1667878, Total, 0, 0, 0, 0, 0, 0, 657794, 657794
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, LUMBA, 102520, 1664980, Roads, 0, 0, 0, 0, 0, 0, 486797, 486797
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, LUMBA, 102520, 1664980, Women and child development, 0, 0, 0, 0, 0, 0, 486797, 486797
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, LUMBA, 102520, 1664980, Total, 0, 0, 0, 0, 0, 0, 973594, 973594
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, DUI, 102515, 1754649, Markets and fairs, 0, 0, 0, 0, 0, 0, 310412, 310412
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, DUI, 102515, 1754649, Sanitation, 0, 0, 0, 0, 0, 0, 310412, 310412
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, DUI, 102515, 1754649, Total, 0, 0, 0, 0, 0, 0, 620824, 620824
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, LANGBIA, 102517, 1757199, Drinking water, 0, 0, 0, 0, 0, 0, 330461, 330461
2018, ARUNACHAL PRADESH, 12, KRA DAADI, 274254, PALIN, 2771, LANGBIA, 102517, 1757199, Education, 0, 0, 0, 0, 0, 0, 330461, 330461
