year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, CHAGLONGAM, 102633, 2799107, Roads, 0, 0, 0, 0, 0, 0, 858770, 858770
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, CHAGLONGAM, 102633, 2799107, Sanitation, 0, 0, 858770, 858770, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, CHAGLONGAM, 102633, 2799107, Total, 0, 0, 858770, 858770, 0, 0, 858770, 858770
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, HAMALIANG, 102634, 2799056, Roads, 0, 0, 0, 0, 0, 0, 898348, 898348
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, HAMALIANG, 102634, 2799056, Sanitation, 0, 0, 898348, 898348, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, HAMALIANG, 102634, 2799056, Total, 0, 0, 898348, 898348, 0, 0, 898348, 898348
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, KROMNA, 102635, 2799593, Drinking water, 0, 0, 796783, 796783, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, KROMNA, 102635, 2799593, Roads, 0, 0, 0, 0, 0, 0, 796783, 796783
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, KROMNA, 102635, 2799593, Total, 0, 0, 796783, 796783, 0, 0, 796783, 796783
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MAILIANG, 102636, 2799408, Drinking water, 0, 0, 513544, 513544, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MAILIANG, 102636, 2799408, Roads, 0, 0, 0, 0, 0, 0, 513544, 513544
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MAILIANG, 102636, 2799408, Total, 0, 0, 513544, 513544, 0, 0, 513544, 513544
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MATENGLIANG, 102637, 2799450, Animal husbandry, 0, 0, 0, 0, 0, 0, 782478, 782478
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MATENGLIANG, 102637, 2799450, Sanitation, 0, 0, 782478, 782478, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, MATENGLIANG, 102637, 2799450, Total, 0, 0, 782478, 782478, 0, 0, 782478, 782478
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, PAILIANG, 102638, 2799762, Roads, 0, 0, 0, 0, 0, 0, 635136, 635136
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, PAILIANG, 102638, 2799762, Sanitation, 0, 0, 635136, 635136, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, PAILIANG, 102638, 2799762, Total, 0, 0, 635136, 635136, 0, 0, 635136, 635136
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, ROILIANG, 102639, 2799573, Roads, 0, 0, 0, 0, 0, 0, 506392, 506392
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, ROILIANG, 102639, 2799573, Sanitation, 0, 0, 506392, 506392, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, ROILIANG, 102639, 2799573, Total, 0, 0, 506392, 506392, 0, 0, 506392, 506392
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, TAFLAGAM, 102640, 2799357, Drinking water, 0, 0, 738132, 738132, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, TAFLAGAM, 102640, 2799357, Roads, 0, 0, 0, 0, 0, 0, 738132, 738132
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, CHONGLONGAM, 2780, TAFLAGAM, 102640, 2799357, Total, 0, 0, 738132, 738132, 0, 0, 738132, 738132
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, BLONG, 102641, 2799707, Drinking water, 0, 0, 1488188, 1488188, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, BLONG, 102641, 2799707, Roads, 0, 0, 0, 0, 0, 0, 1488188, 1488188
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, BLONG, 102641, 2799707, Total, 0, 0, 1488188, 1488188, 0, 0, 1488188, 1488188
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, HALAIKRONG, 102642, 2799309, Drinking water, 0, 0, 639428, 639428, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, HALAIKRONG, 102642, 2799309, Roads, 0, 0, 0, 0, 0, 0, 639428, 639428
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, HALAIKRONG, 102642, 2799309, Total, 0, 0, 639428, 639428, 0, 0, 639428, 639428
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KAMBLAT, 102643, 2800018, Drinking water, 0, 0, 597944, 597944, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KAMBLAT, 102643, 2800018, Roads, 0, 0, 0, 0, 0, 0, 597944, 597944
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KAMBLAT, 102643, 2800018, Total, 0, 0, 597944, 597944, 0, 0, 597944, 597944
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KIBITHOO, 102644, 2794741, Drinking water, 0, 0, 2147646, 2147646, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KIBITHOO, 102644, 2794741, Education, 0, 0, 0, 0, 0, 0, 2147646, 2147646
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, KIBITHOO, 102644, 2794741, Total, 0, 0, 2147646, 2147646, 0, 0, 2147646, 2147646
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LAUTUL, 102645, 2800314, Drinking water, 0, 0, 512114, 512114, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LAUTUL, 102645, 2800314, Roads, 0, 0, 0, 0, 0, 0, 512114, 512114
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LAUTUL, 102645, 2800314, Total, 0, 0, 512114, 512114, 0, 0, 512114, 512114
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LONGLING, 102646, 2799859, Drinking water, 0, 0, 973209, 973209, 0, 0, 0, 0
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LONGLING, 102646, 2799859, Roads, 0, 0, 0, 0, 0, 0, 973209, 973209
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, LONGLING, 102646, 2799859, Total, 0, 0, 973209, 973209, 0, 0, 973209, 973209
2020, ARUNACHAL PRADESH, 12, ANJAW, 572, HAWAI-WALONG, 2781, MECHONG, 102647, 2799983, Drinking water, 0, 0, 469199, 469199, 0, 0, 0, 0
