year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 101623, 101623
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Land improvement, 0, 0, 0, 0, 0, 0, 64600, 64600
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Maintenance of community system, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Rural electrification, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Small-scale industries, 0, 0, 0, 0, 0, 0, 250000, 250000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAGHMARA, 105660, 1169736, Total, 0, 0, 0, 0, 0, 0, 1016223, 1016223
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 119804, 119804
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Agriculture, 0, 0, 0, 0, 0, 0, 90000, 90000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Cultural activities, 0, 0, 0, 0, 0, 0, 90000, 90000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Education, 0, 0, 0, 0, 0, 0, 178239, 178239
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Roads, 0, 0, 0, 0, 0, 0, 720000, 720000
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1156211, Total, 0, 0, 0, 0, 0, 0, 1198043, 1198043
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1367135, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 43847, 43847
2015, ASSAM, 18, BARPETA, 243, BAJALI, 2907, BAMUNKUCHI, 105591, 1367135, Maintenance of community system, 0, 0, 0, 0, 0, 0, 110473, 110473
