A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 13143, 13143
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Drinking water, 0, 0, 0, 0, 0, 0, 197159, 197159
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Roads, 0, 0, 0, 0, 0, 0, 19716, 19716
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Rural electrification, 0, 0, 0, 0, 0, 0, 13144, 13144
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Sanitation, 0, 0, 0, 0, 0, 0, 354888, 354888
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Social welfare, 0, 0, 0, 0, 0, 0, 59148, 59148
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADE DEVDA, 121821, 1008578, Total, 0, 0, 0, 0, 0, 0, 657198, 657198
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 13104, 13104
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Drinking water, 0, 0, 0, 0, 0, 0, 196574, 196574
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Roads, 0, 0, 0, 0, 0, 0, 19657, 19657
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Rural electrification, 0, 0, 0, 0, 0, 0, 13105, 13105
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Sanitation, 0, 0, 0, 0, 0, 0, 353834, 353834
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Social welfare, 0, 0, 0, 0, 0, 0, 58972, 58972
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BAJAWAND, 121823, 1008465, Total, 0, 0, 0, 0, 0, 0, 655246, 655246
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 9760, 9760
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Drinking water, 0, 0, 0, 0, 0, 0, 146405, 146405
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Roads, 0, 0, 0, 0, 0, 0, 14641, 14641
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Rural electrification, 0, 0, 0, 0, 0, 0, 9760, 9760
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Sanitation, 0, 0, 0, 0, 0, 0, 263531, 263531
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Social welfare, 0, 0, 0, 0, 0, 0, 43921, 43921
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BADLAWAND, 121822, 1006849, Total, 0, 0, 0, 0, 0, 0, 488018, 488018
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 7880, 7880
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Drinking water, 0, 0, 0, 0, 0, 0, 118198, 118198
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Roads, 0, 0, 0, 0, 0, 0, 11820, 11820
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Rural electrification, 0, 0, 0, 0, 0, 0, 7880, 7880
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Sanitation, 0, 0, 0, 0, 0, 0, 212756, 212756
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Social welfare, 0, 0, 0, 0, 0, 0, 35460, 35460
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, CHHINARI, 121833, 1008453, Total, 0, 0, 0, 0, 0, 0, 393994, 393994
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BELPUTI, 121828, 1007114, Drinking water, 0, 0, 0, 0, 0, 0, 211409, 211409
2015, CHHATTISGARH, 22, BASTAR, 333, BAKAWAND, 3954, BELPUTI, 121828, 1007114, Roads, 0, 0, 0, 0, 0, 0, 21141, 21141
