year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ADHO MAJRA, 27783, 1991487, Maintenance of community system, 0, 0, 500000, 500000, 0, 0, 500000, 500000
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ADHO MAJRA, 27783, 1991487, Roads, 0, 0, 0, 0, 0, 0, 767765, 767765
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ADHO MAJRA, 27783, 1991487, Total, 0, 0, 500000, 500000, 0, 0, 1267765, 1267765
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, AHEMA, 27784, 1992753, Sanitation, 0, 0, 1426185, 1426185, 0, 0, 0, 0
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, AHEMA, 27784, 1992753, Total, 0, 0, 1426185, 1426185, 0, 0, 0, 0
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, AMIPUR, 27785, 2054093, Roads, 0, 0, 1000000, 1000000, 0, 0, 630123, 630123
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, AMIPUR, 27785, 2054093, Total, 0, 0, 1000000, 1000000, 0, 0, 630123, 630123
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ANANDPUR JALBERA, 27786, 2020459, Maintenance of community system, 0, 0, 50000, 50000, 0, 0, 0, 0
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ANANDPUR JALBERA, 27786, 2020459, Roads, 0, 0, 800000, 800000, 0, 0, 1914366, 1914366
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, ANANDPUR JALBERA, 27786, 2020459, Total, 0, 0, 850000, 850000, 0, 0, 1914366, 1914366
2019, HARYANA, 6, AMBALA, 58, AMBALA-I, 1030, BABAHERI, 27787, 1983702, Sanitation, 0, 0, 525553, 525553, 0, 0, 0, 0
