year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, DHAUN KOTHI, 7538, 2291224, Sanitation, 0, 0, 0, 0, 0, 0, 470000, 470000
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, DHAUN KOTHI, 7538, 2291224, Total, 0, 0, 0, 0, 0, 0, 470000, 470000
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, NICHLI  BHATER, 7531, 2454513, Drinking water, 0, 0, 0, 0, 0, 0, 30000, 30000
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, NICHLI  BHATER, 7531, 2454513, Roads, 0, 0, 0, 0, 0, 0, 375000, 375000
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, NICHLI  BHATER, 7531, 2454513, Sanitation, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, HIMACHAL PRADESH, 2, BILASPUR, 15, BILASPUR SADAR, 722, NICHLI  BHATER, 7531, 2454513, Total, 0, 0, 0, 0, 0, 0, 505000, 505000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, HAMIRPUR, 735, NARA, 8128, 2292973, Roads, 0, 0, 0, 0, 0, 0, 110000, 110000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, HAMIRPUR, 735, NARA, 8128, 2292973, Sanitation, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, HAMIRPUR, 735, NARA, 8128, 2292973, Total, 0, 0, 0, 0, 0, 0, 250000, 250000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, AMLEHAR, 8087, 2186333, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 3103, 3103
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, AMLEHAR, 8087, 2186333, Roads, 0, 0, 0, 0, 0, 0, 956897, 956897
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, AMLEHAR, 8087, 2186333, Sanitation, 0, 0, 0, 0, 0, 0, 40000, 40000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, AMLEHAR, 8087, 2186333, Total, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, CHOURU, 8100, 2784574, Drinking water, 0, 0, 0, 0, 0, 0, 80000, 80000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, CHOURU, 8100, 2784574, Roads, 0, 0, 0, 0, 0, 0, 241916, 241916
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, CHOURU, 8100, 2784574, Total, 0, 0, 0, 0, 0, 0, 321916, 321916
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, MALAG, 8124, 2285410, Drinking water, 0, 0, 0, 0, 0, 0, 25000, 25000
2015, HIMACHAL PRADESH, 2, HAMIRPUR, 17, NADAUN, 736, MALAG, 8124, 2285410, Roads, 0, 0, 0, 0, 0, 0, 208000, 208000
