year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Cultural activities, 0, 0, 0, 0, 0, 0, 220800, 220800
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Drinking water, 0, 0, 756600, 756600, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Roads, 0, 0, 0, 0, 0, 0, 518100, 518100
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Rural electrification, 0, 0, 0, 0, 0, 0, 62000, 62000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Rural housing, 0, 0, 0, 0, 0, 0, 656400, 656400
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Sanitation, 0, 0, 753000, 753000, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, ARMO, 111122, 3107422, Total, 0, 0, 1509600, 1509600, 0, 0, 1457300, 1457300
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Cultural activities, 0, 0, 0, 0, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Drinking water, 0, 0, 498400, 498400, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Health, 0, 0, 0, 0, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Land improvement, 0, 0, 0, 0, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Roads, 0, 0, 0, 0, 0, 0, 522000, 522000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Rural electrification, 0, 0, 0, 0, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Rural housing, 0, 0, 0, 0, 0, 0, 313200, 313200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Sanitation, 0, 0, 664000, 664000, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 52200, 52200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO EAST, 111123, 3106233, Total, 0, 0, 1162400, 1162400, 0, 0, 1148400, 1148400
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Agriculture, 0, 0, 0, 0, 0, 0, 50000, 50000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Cultural activities, 0, 0, 0, 0, 0, 0, 150000, 150000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Drinking water, 0, 0, 502750, 502750, 0, 0, 30000, 30000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Health, 0, 0, 0, 0, 0, 0, 50000, 50000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Roads, 0, 0, 0, 0, 0, 0, 800000, 800000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Rural electrification, 0, 0, 0, 0, 0, 0, 50000, 50000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Sanitation, 0, 0, 652750, 652750, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Social welfare, 0, 0, 0, 0, 0, 0, 275200, 275200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Total, 0, 0, 1355500, 1355500, 0, 0, 1405200, 1405200
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BAIDHKARO WEST, 111129, 3143183, Water Conservation, 0, 0, 200000, 200000, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Cultural activities, 0, 0, 0, 0, 0, 0, 218395, 218395
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Drinking water, 0, 0, 1209198, 1209198, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Maintenance of community system, 0, 0, 0, 0, 0, 0, 200000, 200000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Roads, 0, 0, 0, 0, 0, 0, 1700000, 1700000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Sanitation, 0, 0, 1209197, 1209197, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Social welfare, 0, 0, 0, 0, 0, 0, 200000, 200000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO EAST, 111124, 3108452, Total, 0, 0, 2418395, 2418395, 0, 0, 2418395, 2418395
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Cultural activities, 0, 0, 0, 0, 0, 0, 57000, 57000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Drinking water, 0, 0, 562500, 562500, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Roads, 0, 0, 0, 0, 0, 0, 855000, 855000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Rural electrification, 0, 0, 0, 0, 0, 0, 57000, 57000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Rural housing, 0, 0, 0, 0, 0, 0, 342000, 342000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Sanitation, 0, 0, 750000, 750000, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO SOUTH, 111125, 3107345, Total, 0, 0, 1312500, 1312500, 0, 0, 1311000, 1311000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO WEST, 111126, 3107219, Cultural activities, 0, 0, 0, 0, 0, 0, 80000, 80000
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO WEST, 111126, 3107219, Drinking water, 0, 0, 820000, 820000, 0, 0, 0, 0
2020, JHARKHAND, 20, BOKARO, 281, BERMO, 3428, BERMO WEST, 111126, 3107219, Land improvement, 0, 0, 0, 0, 0, 0, 50000, 50000
