year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2015, KARNATAKA, 29, CHIKBALLAPUR, 574, CHIKBALLAPUR, 6197, DODDAMARALI, 218830, 2399232, Roads, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, KARNATAKA, 29, CHIKBALLAPUR, 574, CHIKBALLAPUR, 6197, DODDAMARALI, 218830, 2399232, Total, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, KARNATAKA, 29, CHIKBALLAPUR, 574, CHIKBALLAPUR, 6197, NANDI, 218841, 2427357, Maintenance of community system, 0, 0, 0, 0, 0, 0, 25000, 25000
2015, KARNATAKA, 29, CHIKBALLAPUR, 574, CHIKBALLAPUR, 6197, NANDI, 218841, 2427357, Roads, 0, 0, 0, 0, 0, 0, 399000, 399000
2015, KARNATAKA, 29, CHIKBALLAPUR, 574, CHIKBALLAPUR, 6197, NANDI, 218841, 2427357, Total, 0, 0, 0, 0, 0, 0, 424000, 424000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, CHIKKABASUR, 218462, 2867868, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 191600, 191600
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, CHIKKABASUR, 218462, 2867868, Sanitation, 0, 0, 0, 0, 0, 0, 55000, 55000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, CHIKKABASUR, 218462, 2867868, Total, 0, 0, 0, 0, 0, 0, 246600, 246600
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2362470, Drinking water, 0, 0, 0, 0, 0, 0, 25000, 25000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2362470, Sanitation, 0, 0, 0, 0, 0, 0, 55000, 55000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2362470, Total, 0, 0, 0, 0, 0, 0, 80000, 80000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2841796, Drinking water, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2841796, Education, 0, 0, 0, 0, 0, 0, 249500, 249500
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, KAGINELE, 218469, 2841796, Total, 0, 0, 0, 0, 0, 0, 299500, 299500
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, MOTEBENNUR, 218475, 2441777, Roads, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, MOTEBENNUR, 218475, 2441777, Total, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, MOTEBENNUR, 218475, 2446394, Roads, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, KARNATAKA, 29, HAVERI, 495, BYADGI, 6185, MOTEBENNUR, 218475, 2446394, Total, 0, 0, 0, 0, 0, 0, 140000, 140000
2015, KARNATAKA, 29, KALABURAGI, 493, ALAND, 6168, MADIYAL, 217910, 2471406, Drinking water, 0, 0, 0, 0, 0, 0, 563723, 563723
2015, KARNATAKA, 29, KALABURAGI, 493, ALAND, 6168, MADIYAL, 217910, 2471406, Total, 0, 0, 0, 0, 0, 0, 563723, 563723
2015, KARNATAKA, 29, KALABURAGI, 493, ALAND, 6168, MADIYAL, 217910, 2471413, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 2853311, 2853311
2015, KARNATAKA, 29, KALABURAGI, 493, ALAND, 6168, MADIYAL, 217910, 2471413, Total, 0, 0, 0, 0, 0, 0, 2853311, 2853311
2015, KARNATAKA, 29, KOPPAL, 498, GANGAVATHI, 6206, SANGAPUR, 219100, 2557851, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 10000, 10000
2015, KARNATAKA, 29, KOPPAL, 498, GANGAVATHI, 6206, SANGAPUR, 219100, 2557851, Drinking water, 0, 0, 0, 0, 0, 0, 105000, 105000
2015, KARNATAKA, 29, KOPPAL, 498, GANGAVATHI, 6206, SANGAPUR, 219100, 2557851, Total, 0, 0, 0, 0, 0, 0, 115000, 115000
2015, KARNATAKA, 29, UTTAR KANNAD, 505, ANKOLA, 6249, BELSE, 220571, 2471250, Drinking water, 0, 0, 0, 0, 0, 0, 26942, 26942
2015, KARNATAKA, 29, UTTAR KANNAD, 505, ANKOLA, 6249, BELSE, 220571, 2471250, Total, 0, 0, 0, 0, 0, 0, 26942, 26942
2015, KARNATAKA, 29, UTTAR KANNAD, 505, HONAVAR, 6252, MANKI B (ANANTHAWADI), 273203, 2524677, Roads, 0, 0, 0, 0, 0, 0, 15000, 15000
2015, KARNATAKA, 29, UTTAR KANNAD, 505, HONAVAR, 6252, MANKI B (ANANTHAWADI), 273203, 2524677, Total, 0, 0, 0, 0, 0, 0, 32750, 32750
2015, KARNATAKA, 29, UTTAR KANNAD, 505, HONAVAR, 6252, MANKI B (ANANTHAWADI), 273203, 2524677, Women and child development, 0, 0, 0, 0, 0, 0, 17750, 17750
