2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, FAKIRBHUDIHAL, 215152, 1664335, Drinking water, 0, 0, 0, 0, 0, 0, 344235, 344235
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, FAKIRBHUDIHAL, 215152, 1664335, Total, 0, 0, 0, 0, 0, 0, 344235, 344235
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KELAVADI, 215165, 1761127, Drinking water, 0, 0, 0, 0, 0, 0, 331742, 331742
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KELAVADI, 215165, 1761127, Education, 0, 0, 0, 0, 0, 0, 20000, 20000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KELAVADI, 215165, 1761127, Roads, 0, 0, 0, 0, 0, 0, 40000, 40000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KELAVADI, 215165, 1761127, Total, 0, 0, 0, 0, 0, 0, 391742, 391742
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KATARAKI, 215164, 1759799, Health, 0, 0, 0, 0, 0, 0, 142000, 142000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KATARAKI, 215164, 1759799, Land improvement, 0, 0, 0, 0, 0, 0, 12123500, 12123500
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KATARAKI, 215164, 1759799, Roads, 0, 0, 0, 0, 0, 0, 8488500, 8488500
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KATARAKI, 215164, 1759799, Sanitation, 0, 0, 0, 0, 0, 0, 529620, 529620
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KATARAKI, 215164, 1759799, Total, 0, 0, 0, 0, 0, 0, 21283620, 21283620
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Drinking water, 0, 0, 0, 0, 0, 0, 365376, 365376
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Maintenance of community system, 0, 0, 0, 0, 0, 0, 30000, 30000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Roads, 0, 0, 0, 0, 0, 0, 460374, 460374
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Rural electrification, 0, 0, 0, 0, 0, 0, 88458, 88458
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Sanitation, 0, 0, 0, 0, 0, 0, 229410, 229410
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Welfare of the weaker sections, 0, 0, 0, 0, 0, 0, 44226, 44226
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, JALIHAL, 215160, 1892408, Total, 0, 0, 0, 0, 0, 0, 1217844, 1217844
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Drinking water, 0, 0, 0, 0, 0, 0, 562500, 562500
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Health, 0, 0, 0, 0, 0, 0, 54500, 54500
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Roads, 0, 0, 0, 0, 0, 0, 230000, 230000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Technical training and vocational education, 0, 0, 0, 0, 0, 0, 85928, 85928
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, KULAGERI CROSS, 215166, 1714078, Total, 0, 0, 0, 0, 0, 0, 1032928, 1032928
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Education, 0, 0, 0, 0, 0, 0, 60000, 60000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Roads, 0, 0, 0, 0, 0, 0, 158500, 158500
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Rural housing, 0, 0, 0, 0, 0, 0, 260484, 260484
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Social welfare, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, HALDUR, 215153, 1704288, Total, 0, 0, 0, 0, 0, 0, 578984, 578984
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, ANAWAL, 215149, 1674828, Drinking water, 0, 0, 0, 0, 0, 0, 1212553, 1212553
2017, KARNATAKA, 29, BAGALKOT, 479, BADAMI, 6084, ANAWAL, 215149, 1674828, Education, 0, 0, 0, 0, 0, 0, 150000, 150000
