A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Agriculture, 0, 0, 0, 0, 30750, 0, 2564500, 2595250
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Animal husbandry, 0, 0, 0, 0, 288000, 0, 1295800, 1583800
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Cultural activities, 0, 0, 0, 0, 0, 0, 125000, 125000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Drinking water, 0, 0, 0, 0, 172500, 62000, 1633845, 1868345
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Education, 0, 0, 0, 0, 500000, 15000, 1334862, 1849862
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Fisheries, 0, 0, 0, 0, 0, 0, 250000, 250000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Libraries, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Roads, 0, 0, 0, 0, 700000, 0, 8950000, 9650000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Rural electrification, 0, 0, 0, 0, 176250, 0, 3600000, 3776250
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Rural housing, 0, 0, 0, 0, 1500000, 0, 6170000, 7670000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Sanitation, 0, 0, 0, 0, 0, 0, 8037800, 8037800
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Small-scale industries, 0, 0, 0, 0, 0, 60000, 0, 60000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 955000, 955000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Social welfare, 0, 0, 0, 0, 400000, 20000, 3350000, 3770000
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Women and child development, 0, 0, 0, 0, 0, 0, 7944881, 7944881
2017, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 1767563, Total, 0, 0, 0, 0, 3767500, 157000, 46261688, 50186188
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 30000, 30000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Agriculture, 0, 0, 0, 0, 0, 0, 2774790, 2774790
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Animal husbandry, 0, 0, 0, 0, 0, 45000, 1141610, 1186610
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Cultural activities, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Drinking water, 0, 0, 0, 0, 115000, 5400, 2050000, 2170400
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Education, 0, 0, 0, 0, 892696, 122000, 950000, 1964696
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Fisheries, 0, 0, 0, 0, 0, 0, 29920, 29920
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Libraries, 0, 0, 0, 0, 0, 0, 40000, 40000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Roads, 0, 0, 0, 0, 0, 0, 5424000, 5424000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Rural electrification, 0, 0, 0, 0, 0, 0, 4504579, 4504579
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Rural housing, 0, 0, 0, 0, 0, 0, 2808000, 2808000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Sanitation, 0, 0, 0, 0, 0, 0, 11105872, 11105872
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Small-scale industries, 0, 0, 0, 0, 91755, 48800, 1080000, 1220555
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 700000, 700000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Social welfare, 0, 0, 0, 0, 364200, 13050, 2843500, 3220750
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Women and child development, 0, 0, 0, 0, 0, 0, 2910400, 2910400
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1767564, Total, 0, 0, 0, 0, 1463651, 234250, 38442671, 40140572
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 600000, 600000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Agriculture, 0, 0, 0, 0, 37500, 0, 2821060, 2858560
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Animal husbandry, 0, 0, 0, 0, 230000, 0, 4053800, 4283800
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Cultural activities, 0, 0, 0, 0, 0, 0, 200000, 200000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Drinking water, 0, 0, 0, 0, 68000, 33000, 1603643, 1704643
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Education, 0, 0, 0, 0, 1295000, 247500, 2925000, 4467500
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Fisheries, 0, 0, 0, 0, 0, 0, 450000, 450000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Libraries, 0, 0, 0, 0, 0, 0, 322000, 322000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Roads, 0, 0, 0, 0, 0, 0, 14346500, 14346500
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Rural electrification, 0, 0, 0, 0, 0, 0, 5877074, 5877074
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Rural housing, 0, 0, 0, 0, 2079000, 0, 12041095, 14120095
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Sanitation, 0, 0, 0, 0, 0, 15400, 8235000, 8250400
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Small-scale industries, 0, 0, 0, 0, 0, 100000, 0, 100000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 3450000, 3450000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Social welfare, 0, 0, 0, 0, 425000, 80000, 4176000, 4681000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Technical training and vocational education, 0, 0, 0, 0, 0, 0, 35000, 35000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Water Conservation, 0, 0, 0, 0, 0, 0, 360000, 360000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Women and child development, 0, 0, 0, 0, 0, 0, 10549690, 10549690
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1767566, Total, 0, 0, 0, 0, 4134500, 475900, 72045862, 76656262
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 61050, 61050
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Agriculture, 0, 0, 0, 0, 0, 0, 4224190, 4224190
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Animal husbandry, 0, 0, 0, 0, 0, 0, 2375000, 2375000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Drinking water, 0, 0, 0, 0, 240000, 37500, 247600, 525100
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Education, 0, 0, 0, 0, 177000, 30000, 1800000, 2007000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Fisheries, 0, 0, 0, 0, 0, 0, 400000, 400000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Libraries, 0, 0, 0, 0, 0, 0, 200000, 200000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Roads, 0, 0, 0, 0, 0, 0, 7909613, 7909613
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Rural electrification, 0, 0, 0, 0, 0, 0, 1173487, 1173487
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Rural housing, 0, 0, 0, 0, 2425000, 0, 2920000, 5345000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Sanitation, 0, 0, 0, 0, 0, 0, 6751450, 6751450
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 1100000, 1100000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Social welfare, 0, 0, 0, 0, 225000, 75000, 1200000, 1500000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Technical training and vocational education, 0, 0, 0, 0, 0, 0, 45000, 45000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Water Conservation, 0, 0, 0, 0, 0, 0, 225000, 225000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Women and child development, 0, 0, 0, 0, 0, 0, 2434012, 2434012
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MUHAMMA, 221009, 1767602, Total, 0, 0, 0, 0, 3067000, 142500, 33066402, 36275902
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 50000, 50000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Agriculture, 0, 0, 0, 0, 0, 0, 6158429, 6158429
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Animal husbandry, 0, 0, 0, 0, 0, 40000, 4620560, 4660560
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Cultural activities, 0, 0, 0, 0, 0, 0, 30000, 30000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Drinking water, 0, 0, 0, 0, 0, 0, 2616000, 2616000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Education, 0, 0, 0, 0, 3296000, 14800, 11998750, 15309550
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Fisheries, 0, 0, 0, 0, 0, 0, 400000, 400000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Fuel and fodder, 0, 0, 0, 0, 0, 0, 3305973, 3305973
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Libraries, 0, 0, 0, 0, 0, 0, 1650000, 1650000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Roads, 0, 0, 0, 0, 0, 0, 11391564, 11391564
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Rural electrification, 0, 0, 0, 0, 0, 0, 6791960, 6791960
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Rural housing, 0, 0, 0, 0, 1400000, 159000, 8535000, 10094000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Sanitation, 0, 0, 0, 0, 0, 0, 9106875, 9106875
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Small-scale industries, 0, 0, 0, 0, 50000, 0, 1357890, 1407890
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 1900000, 1900000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Social welfare, 0, 0, 0, 0, 675000, 17400, 2293200, 2985600
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Technical training and vocational education, 0, 0, 0, 0, 1250000, 0, 0, 1250000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Water Conservation, 0, 0, 0, 0, 0, 0, 826110, 826110
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Women and child development, 0, 0, 0, 0, 140000, 0, 12870000, 13010000
2017, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1767565, Total, 0, 0, 0, 0, 6811000, 231200, 85902311, 92944511
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Agriculture, 0, 0, 0, 0, 0, 0, 4555086, 4555086
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Animal husbandry, 0, 0, 0, 0, 1944000, 0, 1830000, 3774000
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Cultural activities, 0, 0, 0, 0, 0, 0, 207000, 207000
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Drinking water, 0, 0, 0, 0, 465300, 0, 1890000, 2355300
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Education, 0, 0, 0, 0, 2685000, 0, 2983073, 5668073
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Roads, 0, 0, 0, 0, 0, 0, 13201000, 13201000
2017, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, BHARANIKKAVU, 220976, 1767568, Rural electrification, 0, 0, 0, 0, 0, 0, 2678075, 2678075
