year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 20000, 20000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Agriculture, 0, 0, 0, 0, 0, 0, 3981750, 3981750
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Animal husbandry, 0, 0, 0, 0, 0, 0, 1649000, 1649000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Cultural activities, 0, 0, 0, 0, 0, 0, 196000, 196000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Drinking water, 0, 0, 0, 0, 336200, 0, 2250000, 2586200
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Education, 0, 0, 0, 0, 2055000, 0, 899000, 2954000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Fisheries, 0, 0, 0, 0, 0, 0, 170000, 170000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Libraries, 0, 0, 0, 0, 0, 0, 80000, 80000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Roads, 0, 0, 0, 0, 0, 0, 6265000, 6265000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Rural electrification, 0, 0, 0, 0, 0, 0, 2500000, 2500000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Rural housing, 0, 0, 0, 0, 2000000, 745000, 127800000, 130545000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Sanitation, 0, 0, 0, 0, 0, 0, 4854358, 4854358
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Small-scale industries, 0, 0, 0, 0, 150000, 0, 63000, 213000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 1020000, 1020000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Social welfare, 0, 0, 0, 0, 505500, 0, 2538000, 3043500
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Technical training and vocational education, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Total, 0, 0, 0, 0, 5046700, 745000, 159526108, 165317808
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 1906055, Women and child development, 0, 0, 0, 0, 0, 0, 5040000, 5040000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 100000, 100000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Agriculture, 0, 0, 0, 0, 0, 0, 4506070, 4506070
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Animal husbandry, 0, 0, 0, 0, 265000, 0, 4959000, 5224000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Cultural activities, 0, 0, 0, 0, 0, 0, 150000, 150000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Drinking water, 0, 0, 0, 0, 0, 0, 2300000, 2300000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Education, 0, 0, 0, 0, 2550000, 0, 6467000, 9017000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Fisheries, 0, 0, 0, 0, 0, 0, 900000, 900000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Fuel and fodder, 0, 0, 0, 0, 0, 0, 1699051, 1699051
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Libraries, 0, 0, 0, 0, 0, 0, 1678000, 1678000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Roads, 0, 0, 0, 0, 0, 0, 11850000, 11850000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Rural electrification, 0, 0, 0, 0, 0, 0, 3530000, 3530000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Rural housing, 0, 0, 0, 0, 4050000, 600000, 194380000, 199030000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Sanitation, 0, 0, 0, 0, 0, 0, 9880000, 9880000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Small-scale industries, 0, 0, 0, 0, 1279000, 0, 1210000, 2489000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 4200000, 4200000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Social welfare, 0, 0, 0, 0, 675000, 0, 6356570, 7031570
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Total, 0, 0, 0, 0, 8894000, 600000, 264338791, 273832791
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Water Conservation, 0, 0, 0, 0, 0, 0, 300000, 300000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MANNANCHERY, 220974, 1906004, Women and child development, 0, 0, 0, 0, 75000, 0, 9873100, 9948100
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 200000, 200000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Agriculture, 0, 0, 0, 0, 0, 0, 1196000, 1196000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Animal husbandry, 0, 0, 0, 0, 368640, 0, 8336200, 8704840
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Cultural activities, 0, 0, 0, 0, 0, 0, 470000, 470000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Drinking water, 0, 0, 0, 0, 400000, 0, 3506458, 3906458
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Education, 0, 0, 0, 0, 2520000, 400000, 6275397, 9195397
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Fisheries, 0, 0, 0, 0, 0, 0, 1700000, 1700000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Libraries, 0, 0, 0, 0, 0, 0, 683500, 683500
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Non-conventional energy sources, 0, 0, 0, 0, 0, 0, 1270000, 1270000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Roads, 0, 0, 0, 0, 0, 0, 29122000, 29122000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Rural electrification, 0, 0, 0, 0, 0, 0, 600000, 600000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Rural housing, 0, 0, 0, 0, 670000, 150000, 161116664, 161936664
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Sanitation, 0, 0, 0, 0, 0, 0, 7653000, 7653000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Small-scale industries, 0, 0, 0, 0, 0, 0, 1530000, 1530000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 2700000, 2700000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Social welfare, 0, 0, 0, 0, 666450, 0, 4760950, 5427400
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Total, 0, 0, 0, 0, 4625090, 550000, 238350069, 243525159
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Water Conservation, 0, 0, 0, 0, 0, 0, 340000, 340000
2018, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, MARARIKKULAM SOUTH, 220975, 1906006, Women and child development, 0, 0, 0, 0, 0, 0, 6889900, 6889900
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Agriculture, 0, 0, 0, 0, 0, 0, 7312750, 7312750
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Animal husbandry, 0, 0, 0, 0, 0, 0, 2124000, 2124000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Cultural activities, 0, 0, 0, 0, 0, 0, 100000, 100000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Drinking water, 0, 0, 0, 0, 290000, 0, 8477782, 8767782
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Education, 0, 0, 0, 0, 520000, 0, 2830147, 3350147
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Fuel and fodder, 0, 0, 0, 0, 0, 0, 798000, 798000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Libraries, 0, 0, 0, 0, 0, 0, 450000, 450000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Non-conventional energy sources, 0, 0, 0, 0, 0, 0, 740000, 740000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Roads, 0, 0, 0, 0, 2796900, 0, 11496000, 14292900
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Rural electrification, 0, 0, 0, 0, 0, 0, 2238683, 2238683
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Rural housing, 0, 0, 0, 0, 6000000, 400000, 12850000, 19250000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Sanitation, 0, 0, 0, 0, 0, 0, 2752625, 2752625
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Small-scale industries, 0, 0, 0, 0, 900000, 0, 300000, 1200000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 1125000, 1125000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Social welfare, 0, 0, 0, 0, 800100, 0, 2850150, 3650250
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Total, 0, 0, 0, 0, 11507000, 400000, 59873137, 71780137
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, CHUNAKKARA, 220977, 1906057, Women and child development, 0, 0, 0, 0, 200000, 0, 3428000, 3628000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Animal husbandry, 0, 0, 0, 0, 0, 0, 1399990, 1399990
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Cultural activities, 0, 0, 0, 0, 0, 0, 100000, 100000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Drinking water, 0, 0, 0, 0, 0, 0, 1111880, 1111880
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Education, 0, 0, 0, 0, 500000, 0, 500000, 1000000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Roads, 0, 0, 0, 0, 0, 0, 1001300, 1001300
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Rural electrification, 0, 0, 0, 0, 0, 0, 2300000, 2300000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Sanitation, 0, 0, 0, 0, 0, 0, 755120, 755120
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Small-scale industries, 0, 0, 0, 0, 300000, 0, 450000, 750000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Social forestry and farm forestry, 0, 0, 0, 0, 200000, 0, 1100000, 1300000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Social welfare, 0, 0, 0, 0, 1525000, 0, 750000, 2275000
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Total, 0, 0, 0, 0, 2525000, 0, 11923290, 14448290
2018, KERALA, 32, ALAPPUZHA, 509, BHARANICAVU, 6262, NOORANAD, 220979, 1906050, Women and child development, 0, 0, 0, 0, 0, 0, 2455000, 2455000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Adult and non-formal education, 0, 0, 0, 0, 0, 0, 25000, 25000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Agriculture, 0, 0, 0, 0, 100000, 0, 7636000, 7736000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Cultural activities, 0, 0, 0, 0, 0, 0, 80000, 80000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Drinking water, 0, 0, 0, 0, 0, 61000, 0, 61000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Education, 0, 0, 0, 0, 300000, 6000, 1100000, 1406000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Libraries, 0, 0, 0, 0, 0, 0, 289000, 289000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Roads, 0, 0, 0, 0, 1200000, 0, 9213500, 10413500
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Rural electrification, 0, 0, 0, 0, 0, 0, 317169, 317169
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Rural housing, 0, 0, 0, 0, 1875000, 0, 2250000, 4125000
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Sanitation, 0, 0, 0, 0, 0, 0, 1415360, 1415360
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Social welfare, 0, 0, 0, 0, 0, 0, 1142710, 1142710
2018, KERALA, 32, ALAPPUZHA, 509, CHAMPAKULAM, 6263, EDATHUA, 220983, 1906012, Total, 0, 0, 0, 0, 3675000, 67000, 26222739, 29964739
