year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA ( NORTH ), 220968, 3186688, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 8561200, 8561200
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA ( NORTH ), 220968, 3186688, Roads, 0, 0, 0, 0, 0, 0, 2888800, 2888800
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA ( NORTH ), 220968, 3186688, Sanitation, 0, 0, 0, 0, 0, 0, 2490000, 2490000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA ( NORTH ), 220968, 3186688, Total, 0, 0, 0, 0, 0, 0, 13940000, 13940000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA(SOUTH), 220969, 3179993, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 2784000, 2784000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA(SOUTH), 220969, 3179993, Roads, 0, 0, 0, 0, 0, 0, 2786000, 2786000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA(SOUTH), 220969, 3179993, Sanitation, 0, 0, 0, 0, 0, 0, 4570000, 4570000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, AMBALAPPUZHA(SOUTH), 220969, 3179993, Total, 0, 0, 0, 0, 0, 0, 10140000, 10140000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA (NORTH), 220970, 3205218, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 9104588, 9104588
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA (NORTH), 220970, 3205218, Roads, 0, 0, 0, 0, 0, 0, 779252, 779252
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA (NORTH), 220970, 3205218, Sanitation, 0, 0, 0, 0, 0, 0, 2616160, 2616160
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA (NORTH), 220970, 3205218, Total, 0, 0, 0, 0, 0, 0, 13000000, 13000000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA (NORTH), 220970, 3205218, Women and child development, 0, 0, 0, 0, 0, 0, 500000, 500000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 8282000, 8282000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Drinking water, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Education, 0, 0, 0, 0, 0, 0, 700000, 700000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Roads, 0, 0, 0, 0, 0, 0, 3447822, 3447822
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Rural electrification, 0, 0, 0, 0, 0, 0, 500000, 500000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Sanitation, 0, 0, 0, 0, 0, 0, 2003000, 2003000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Total, 0, 0, 0, 0, 0, 0, 16132822, 16132822
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PUNNAPRA(SOUTH), 220971, 3179781, Women and child development, 0, 0, 0, 0, 0, 0, 200000, 200000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 3179998, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 15856718, 15856718
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 3179998, Roads, 0, 0, 0, 0, 0, 0, 53282, 53282
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 3179998, Rural electrification, 0, 0, 0, 0, 0, 0, 650000, 650000
2020, KERALA, 32, ALAPPUZHA, 509, AMBALAPPUZHA, 6260, PURAKKAD, 220972, 3179998, Total, 0, 0, 0, 0, 0, 0, 16560000, 16560000
2020, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 3200187, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 12326665, 12326665
2020, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 3200187, Roads, 0, 0, 0, 0, 0, 0, 100000, 100000
2020, KERALA, 32, ALAPPUZHA, 509, ARYAD, 6261, ARYAD, 220973, 3200187, Sanitation, 0, 0, 0, 0, 0, 0, 553335, 553335
