A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PARNER, 4641, GARGUNDI, 168165, 2325259, Drinking water, 0, 0, 0, 0, 0, 0, 60000, 60000
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PARNER, 4641, GARGUNDI, 168165, 2325259, Education, 0, 0, 0, 0, 0, 0, 64836, 64836
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PARNER, 4641, GARGUNDI, 168165, 2325259, Roads, 0, 0, 0, 0, 0, 0, 58574, 58574
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PARNER, 4641, GARGUNDI, 168165, 2325259, Total, 0, 0, 0, 0, 0, 0, 183410, 183410
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, CHITALWADI, 168271, 1409266, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 53139, 53139
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, CHITALWADI, 168271, 1409266, Drinking water, 0, 0, 0, 0, 0, 0, 160000, 160000
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, CHITALWADI, 168271, 1409266, Total, 0, 0, 0, 0, 0, 0, 213139, 213139
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, BORSEWADI, 168266, 1409453, Drinking water, 0, 0, 0, 0, 0, 0, 271379, 271379
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, BORSEWADI, 168266, 1409453, Total, 0, 0, 0, 0, 0, 0, 271379, 271379
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, KELWANDI, 168303, 1410117, Drinking water, 0, 0, 0, 0, 0, 0, 170040, 170040
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, KELWANDI, 168303, 1410117, Rural electrification, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, KELWANDI, 168303, 1410117, Total, 0, 0, 0, 0, 0, 0, 220040, 220040
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, JAT DEVALE, 168289, 1409470, Drinking water, 0, 0, 0, 0, 0, 0, 623572, 623572
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, JAT DEVALE, 168289, 1409470, Total, 0, 0, 0, 0, 0, 0, 623572, 623572
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, RANJANI, 168338, 1410086, Drinking water, 0, 0, 0, 0, 0, 0, 206554, 206554
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, PATHARDI, 4642, RANJANI, 168338, 1410086, Total, 0, 0, 0, 0, 0, 0, 206554, 206554
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, RAHATA, 4643, BABHALESHWAR, 168365, 1421633, Drinking water, 0, 0, 0, 0, 0, 0, 940000, 940000
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, RAHATA, 4643, BABHALESHWAR, 168365, 1421633, Sanitation, 0, 0, 0, 0, 0, 0, 750000, 750000
2015, MAHARASHTRA, 27, AHMEDNAGAR, 424, RAHATA, 4643, BABHALESHWAR, 168365, 1421633, Total, 0, 0, 0, 0, 0, 0, 1690000, 1690000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PATODA, 170304, 1430373, Drinking water, 0, 0, 0, 0, 0, 0, 250000, 250000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PATODA, 170304, 1430373, Minor forest produce, 0, 0, 0, 0, 0, 0, 350000, 350000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PATODA, 170304, 1430373, Women and child development, 0, 0, 0, 0, 0, 0, 130000, 130000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PATODA, 170304, 1430373, Total, 0, 0, 0, 0, 0, 0, 730000, 730000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, KOLGHAR, 170281, 1442335, Drinking water, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, KOLGHAR, 170281, 1442335, Rural electrification, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, KOLGHAR, 170281, 1442335, Total, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, GADIWAT, 170252, 1440190, Minor forest produce, 0, 0, 0, 0, 0, 0, 408728, 408728
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, GADIWAT, 170252, 1440190, Total, 0, 0, 0, 0, 0, 0, 408728, 408728
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, TONGAON, 170330, 1442201, Drinking water, 0, 0, 0, 0, 0, 0, 259250, 259250
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, TONGAON, 170330, 1442201, Total, 0, 0, 0, 0, 0, 0, 259250, 259250
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PIMPALGAON CHITE, 170305, 1432806, Drinking water, 0, 0, 0, 0, 0, 0, 330000, 330000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, PIMPALGAON CHITE, 170305, 1432806, Total, 0, 0, 0, 0, 0, 0, 330000, 330000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DARAKHWADI, 170243, 1442409, Drinking water, 0, 0, 0, 0, 0, 0, 260000, 260000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DARAKHWADI, 170243, 1442409, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DARAKHWADI, 170243, 1442409, Total, 0, 0, 0, 0, 0, 0, 360000, 360000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DAIGAWAHAN, 170242, 1436911, Drinking water, 0, 0, 0, 0, 0, 0, 299000, 299000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DAIGAWAHAN, 170242, 1436911, Education, 0, 0, 0, 0, 0, 0, 22000, 22000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, DAIGAWAHAN, 170242, 1436911, Total, 0, 0, 0, 0, 0, 0, 321000, 321000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, ADUL KHURD, 170622, 1432174, Drinking water, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, ADUL KHURD, 170622, 1432174, Education, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, ADUL KHURD, 170622, 1432174, Roads, 0, 0, 0, 0, 0, 0, 250000, 250000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, ADUL KHURD, 170622, 1432174, Total, 0, 0, 0, 0, 0, 0, 400000, 400000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, BAHULGAON, 170629, 1432088, Drinking water, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, BAHULGAON, 170629, 1432088, Education, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, BAHULGAON, 170629, 1432088, Roads, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, MAHARASHTRA, 27, AURANGABAD, 427, PAITHAN, 4674, BAHULGAON, 170629, 1432088, Total, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Drinking water, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Education, 0, 0, 0, 0, 0, 0, 80000, 80000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Public distribution system, 0, 0, 0, 0, 0, 0, 380000, 380000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Rural electrification, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Sanitation, 0, 0, 0, 0, 0, 0, 400000, 400000
2015, MAHARASHTRA, 27, AURANGABAD, 427, AURANGABAD, 4670, CHOWKA, 170241, 1509227, Total, 0, 0, 0, 0, 0, 0, 1260000, 1260000
2015, MAHARASHTRA, 27, BULDHANA, 430, SANGRAMPUR, 4707, PATURDA BK, 173202, 2128701, Roads, 0, 0, 0, 0, 0, 0, 526837, 526837
2015, MAHARASHTRA, 27, BULDHANA, 430, SANGRAMPUR, 4707, PATURDA BK, 173202, 2128701, Total, 0, 0, 0, 0, 0, 0, 526837, 526837
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, BODAKHA MO, 174098, 2845928, Social welfare, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, BODAKHA MO, 174098, 2845928, Women and child development, 0, 0, 0, 0, 0, 0, 25000, 25000
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, BODAKHA MO, 174098, 2845928, Total, 0, 0, 0, 0, 0, 0, 175000, 175000
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, EKARJUNA, 174112, 1432049, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 49930, 49930
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, EKARJUNA, 174112, 1432049, Drinking water, 0, 0, 0, 0, 0, 0, 321153, 321153
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, EKARJUNA, 174112, 1432049, Rural electrification, 0, 0, 0, 0, 0, 0, 78750, 78750
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, EKARJUNA, 174112, 1432049, Sanitation, 0, 0, 0, 0, 0, 0, 44449, 44449
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, EKARJUNA, 174112, 1432049, Total, 0, 0, 0, 0, 0, 0, 494282, 494282
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, WANDHALI, 174160, 1422301, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, WANDHALI, 174160, 1422301, Drinking water, 0, 0, 0, 0, 0, 0, 440000, 440000
2015, MAHARASHTRA, 27, CHANDRAPUR, 431, WARORA, 4724, WANDHALI, 174160, 1422301, Total, 0, 0, 0, 0, 0, 0, 490000, 490000
2015, MAHARASHTRA, 27, JALNA, 437, JALNA, 4774, KHARPUDI, 177959, 2334635, Education, 0, 0, 0, 0, 0, 0, 100, 100
2015, MAHARASHTRA, 27, JALNA, 437, JALNA, 4774, KHARPUDI, 177959, 2334635, Roads, 0, 0, 0, 0, 0, 0, 100, 100
2015, MAHARASHTRA, 27, JALNA, 437, JALNA, 4774, KHARPUDI, 177959, 2334635, Total, 0, 0, 0, 0, 0, 0, 200, 200
2015, MAHARASHTRA, 27, NAGPUR, 440, KUHI, 4804, CHAPEGADI, 180308, 1418623, Drinking water, 0, 0, 0, 0, 0, 0, 400000, 400000
2015, MAHARASHTRA, 27, NAGPUR, 440, KUHI, 4804, CHAPEGADI, 180308, 1418623, Rural electrification, 0, 0, 0, 0, 0, 0, 175000, 175000
2015, MAHARASHTRA, 27, NAGPUR, 440, KUHI, 4804, CHAPEGADI, 180308, 1418623, Women and child development, 0, 0, 0, 0, 0, 0, 104345, 104345
2015, MAHARASHTRA, 27, NAGPUR, 440, KUHI, 4804, CHAPEGADI, 180308, 1418623, Total, 0, 0, 0, 0, 0, 0, 679345, 679345
2015, MAHARASHTRA, 27, NASHIK, 443, NIPHAD, 4843, PIMPALGAON B, 183506, 2100689, Drinking water, 0, 0, 1899520, 1899520, 0, 0, 0, 0
2015, MAHARASHTRA, 27, NASHIK, 443, NIPHAD, 4843, PIMPALGAON B, 183506, 2100689, Maintenance of community system, 0, 0, 1200000, 1200000, 0, 0, 0, 0
2015, MAHARASHTRA, 27, NASHIK, 443, NIPHAD, 4843, PIMPALGAON B, 183506, 2100689, Roads, 0, 0, 5000000, 5000000, 0, 0, 0, 0
2015, MAHARASHTRA, 27, NASHIK, 443, NIPHAD, 4843, PIMPALGAON B, 183506, 2100689, Sanitation, 0, 0, 1100000, 1100000, 0, 0, 0, 0
2015, MAHARASHTRA, 27, NASHIK, 443, NIPHAD, 4843, PIMPALGAON B, 183506, 2100689, Total, 0, 0, 9199520, 9199520, 0, 0, 0, 0
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, KUMALWADI, 184294, 1137889, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 150567, 150567
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, KUMALWADI, 184294, 1137889, Total, 0, 0, 0, 0, 0, 0, 150567, 150567
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, BHANDARI, 184252, 1138561, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 60000, 60000
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, BHANDARI, 184252, 1138561, Education, 0, 0, 0, 0, 0, 0, 65327, 65327
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, BHANDARI, 184252, 1138561, Total, 0, 0, 0, 0, 0, 0, 125327, 125327
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, TER, 184330, 1136868, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 600000, 600000
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, TER, 184330, 1136868, Drinking water, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, TER, 184330, 1136868, Welfare of the weaker sections, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, TER, 184330, 1136868, Women and child development, 0, 0, 0, 0, 0, 0, 300000, 300000
2015, MAHARASHTRA, 27, OSMANABAD, 444, OSMANABAD, 4853, TER, 184330, 1136868, Total, 0, 0, 0, 0, 0, 0, 2200000, 2200000
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, KHUDAWADI, 184475, 1208317, Drinking water, 0, 0, 0, 0, 0, 0, 314400, 314400
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, KHUDAWADI, 184475, 1208317, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, KHUDAWADI, 184475, 1208317, Total, 0, 0, 0, 0, 0, 0, 414400, 414400
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, KATGAON, 184467, 1208322, Drinking water, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, KATGAON, 184467, 1208322, Total, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, ANDOOR, 184417, 1208296, Drinking water, 0, 0, 0, 0, 0, 0, 1507709, 1507709
2015, MAHARASHTRA, 27, OSMANABAD, 444, TULJAPUR, 4855, ANDOOR, 184417, 1208296, Total, 0, 0, 0, 0, 0, 0, 1507709, 1507709
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, AMBAVADE, 185465, 1396525, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, AMBAVADE, 185465, 1396525, Maintenance of community system, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, AMBAVADE, 185465, 1396525, Roads, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, AMBAVADE, 185465, 1396525, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, AMBAVADE, 185465, 1396525, Total, 0, 0, 0, 0, 0, 0, 1400000, 1400000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, ASHIMPI, 185468, 1414137, Drinking water, 0, 0, 0, 0, 0, 0, 150000, 150000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, ASHIMPI, 185468, 1414137, Maintenance of community system, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, MAHARASHTRA, 27, PUNE, 446, BHOR, 4868, ASHIMPI, 185468, 1414137, Rural electrification, 0, 0, 0, 0, 0, 0, 100000, 100000
