year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, AAKODIYA, 33588, 1142970, Maintenance of community system, 0, 0, 0, 0, 0, 0, 400000, 400000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, AAKODIYA, 33588, 1142970, Roads, 0, 0, 0, 0, 0, 0, 80000, 80000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, AAKODIYA, 33588, 1142970, Total, 0, 0, 0, 0, 0, 0, 480000, 480000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, ARAIN, 33589, 1142972, Drinking water, 0, 0, 0, 0, 0, 0, 500000, 500000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, ARAIN, 33589, 1142972, Roads, 0, 0, 0, 0, 0, 0, 2100000, 2100000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, ARAIN, 33589, 1142972, Total, 0, 0, 0, 0, 0, 0, 2600000, 2600000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BAROL, 33620, 1143033, Roads, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BAROL, 33620, 1143033, Total, 0, 0, 0, 0, 0, 0, 1000000, 1000000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHAGWANTPURA, 33621, 1143003, Roads, 0, 0, 0, 0, 0, 0, 750000, 750000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHAGWANTPURA, 33621, 1143003, Total, 0, 0, 0, 0, 0, 0, 750000, 750000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHAMOLAV, 33591, 1143154, Roads, 0, 0, 0, 0, 0, 0, 700000, 700000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHAMOLAV, 33591, 1143154, Total, 0, 0, 0, 0, 0, 0, 700000, 700000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHOGADEET, 33592, 1143010, Roads, 0, 0, 0, 0, 0, 0, 750000, 750000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BHOGADEET, 33592, 1143010, Total, 0, 0, 0, 0, 0, 0, 750000, 750000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BORADA, 33594, 1142977, Roads, 0, 0, 0, 0, 0, 0, 1300000, 1300000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, BORADA, 33594, 1142977, Total, 0, 0, 0, 0, 0, 0, 1300000, 1300000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, CHHOTA LAMBA, 33608, 1142982, Drinking water, 0, 0, 0, 0, 0, 0, 350000, 350000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, CHHOTA LAMBA, 33608, 1142982, Land improvement, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, CHHOTA LAMBA, 33608, 1142982, Maintenance of community system, 0, 0, 0, 0, 0, 0, 100000, 100000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, CHHOTA LAMBA, 33608, 1142982, Roads, 0, 0, 0, 0, 0, 0, 50000, 50000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, CHHOTA LAMBA, 33608, 1142982, Total, 0, 0, 0, 0, 0, 0, 550000, 550000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DABRELA, 33626, 1143139, Roads, 0, 0, 0, 0, 0, 0, 900000, 900000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DABRELA, 33626, 1143139, Total, 0, 0, 0, 0, 0, 0, 900000, 900000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DADIYA, 33595, 1142985, Roads, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DADIYA, 33595, 1142985, Total, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DEOPURI, 33596, 1142991, Roads, 0, 0, 0, 0, 0, 0, 800000, 800000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DEOPURI, 33596, 1142991, Total, 0, 0, 0, 0, 0, 0, 800000, 800000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DHASOOK, 33597, 1143150, Land improvement, 0, 0, 0, 0, 0, 0, 200000, 200000
2015, RAJASTHAN, 8, AJMER, 77, ARAIN, 1149, DHASOOK, 33597, 1143150, Roads, 0, 0, 0, 0, 0, 0, 600000, 600000
