year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Alagapuram, 226332, 1310649, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Alagapuram, 226332, 1310649, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Andimadam, 226333, 1310651, Drinking water, 0, 0, 0, 0, 0, 0, 500000, 500000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Andimadam, 226333, 1310651, Total, 0, 0, 0, 0, 0, 0, 500000, 500000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Anikuthichan, 226334, 1310653, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Anikuthichan, 226334, 1310653, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Devanur, 226336, 1310656, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Devanur, 226336, 1310656, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Edayakurichy, 226337, 1310658, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Edayakurichy, 226337, 1310658, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Elaiyur, 226338, 1404882, Drinking water, 0, 0, 0, 0, 0, 0, 267000, 267000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Elaiyur, 226338, 1404882, Total, 0, 0, 0, 0, 0, 0, 267000, 267000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kattathur, 226340, 1404883, Drinking water, 0, 0, 0, 0, 0, 0, 149000, 149000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kattathur, 226340, 1404883, Total, 0, 0, 0, 0, 0, 0, 149000, 149000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kodukkur, 226342, 1310662, Drinking water, 0, 0, 0, 0, 0, 0, 389000, 389000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kodukkur, 226342, 1310662, Total, 0, 0, 0, 0, 0, 0, 389000, 389000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kolathur, 226343, 1310664, Drinking water, 0, 0, 0, 0, 0, 0, 97000, 97000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kolathur, 226343, 1310664, Total, 0, 0, 0, 0, 0, 0, 97000, 97000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Koovathur, 226344, 1310666, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Koovathur, 226344, 1310666, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kovilvalkkai, 226345, 1404884, Drinking water, 0, 0, 0, 0, 0, 0, 92000, 92000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kovilvalkkai, 226345, 1404884, Total, 0, 0, 0, 0, 0, 0, 92000, 92000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kuvagam, 226346, 1310669, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Kuvagam, 226346, 1310669, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Melur, 226348, 1310672, Drinking water, 0, 0, 0, 0, 0, 0, 93500, 93500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Melur, 226348, 1310672, Total, 0, 0, 0, 0, 0, 0, 93500, 93500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Olaiyur, 226350, 1404885, Drinking water, 0, 0, 0, 0, 0, 0, 83000, 83000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Olaiyur, 226350, 1404885, Total, 0, 0, 0, 0, 0, 0, 83000, 83000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Periyakrishnapuram, 226351, 1310677, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Periyakrishnapuram, 226351, 1310677, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Periyathukurichy, 226352, 1310679, Drinking water, 0, 0, 0, 0, 0, 0, 10000, 10000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Periyathukurichy, 226352, 1310679, Total, 0, 0, 0, 0, 0, 0, 10000, 10000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Pudukudi, 226353, 1310681, Drinking water, 0, 0, 0, 0, 0, 0, 93500, 93500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Pudukudi, 226353, 1310681, Total, 0, 0, 0, 0, 0, 0, 93500, 93500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Silambur, 226355, 1404886, Drinking water, 0, 0, 0, 0, 0, 0, 47000, 47000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Silambur, 226355, 1404886, Total, 0, 0, 0, 0, 0, 0, 47000, 47000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Sriraman, 226356, 1404887, Drinking water, 0, 0, 0, 0, 0, 0, 48000, 48000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Sriraman, 226356, 1404887, Total, 0, 0, 0, 0, 0, 0, 48000, 48000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Thirukalappur, 226357, 1310686, Drinking water, 0, 0, 0, 0, 0, 0, 540500, 540500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Thirukalappur, 226357, 1310686, Total, 0, 0, 0, 0, 0, 0, 540500, 540500
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Vallam, 226358, 1404888, Drinking water, 0, 0, 0, 0, 0, 0, 223000, 223000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Vallam, 226358, 1404888, Total, 0, 0, 0, 0, 0, 0, 223000, 223000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Vilandai, 226360, 1310691, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ANDIMADAM, 6560, Vilandai, 226360, 1310691, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Edaiyathangudi, 226365, 1310697, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Edaiyathangudi, 226365, 1310697, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kadugur, 226370, 1920602, Rural electrification, 0, 0, 159500, 159500, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kadugur, 226370, 1920602, Total, 0, 0, 159500, 159500, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Karupilakkattalai, 226372, 1920534, Rural electrification, 0, 0, 118250, 118250, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Karupilakkattalai, 226372, 1920534, Total, 0, 0, 118250, 118250, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kavanur, 226373, 1310705, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kavanur, 226373, 1310705, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kayarlabath, 226374, 1310707, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Kayarlabath, 226374, 1310707, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Manakkudi, 226376, 1310710, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Manakkudi, 226376, 1310710, Total, 0, 0, 0, 0, 0, 0, 450000, 450000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Melakaruppur, 226377, 1920515, Rural electrification, 0, 0, 134750, 134750, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Melakaruppur, 226377, 1920515, Total, 0, 0, 134750, 134750, 0, 0, 0, 0
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Pungankuzhi, 226384, 1310720, Drinking water, 0, 0, 0, 0, 0, 0, 280000, 280000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Pungankuzhi, 226384, 1310720, Total, 0, 0, 0, 0, 0, 0, 280000, 280000
2016, TAMIL NADU, 33, ARIYALUR, 560, ARIYALUR, 6561, Rayampuram, 226385, 1310722, Drinking water, 0, 0, 0, 0, 0, 0, 450000, 450000
