2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3707656,  Drinking water, 0, 0, 0, 0, 0, 0, 1873700, 1873700
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3707656,  Health, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3707656,  Roads, 0, 0, 0, 0, 0, 0, 400000, 400000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3707656,  Sanitation, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3707656, Total, 0, 0, 0, 0, 0, 0, 2473700, 2473700
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 520500, 520500
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Drinking water, 0, 0, 1949250, 1949250, 0, 0, 522000, 522000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Education, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 150000, 150000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Roads, 0, 0, 0, 0, 0, 0, 3990000, 3990000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Rural electrification, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Sanitation, 0, 0, 1949250, 1949250, 0, 0, 200000, 200000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 160000, 160000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Social welfare, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928,  Water Conservation, 0, 0, 0, 0, 0, 0, 211300, 211300
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3514928, Total, 0, 0, 3898500, 3898500, 0, 0, 5953800, 5953800
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  Drinking water, 0, 0, 0, 0, 0, 0, 350000, 350000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  Education, 0, 0, 0, 0, 0, 0, 300000, 300000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  Maintenance of community system, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  Roads, 0, 0, 0, 0, 0, 0, 1530000, 1530000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685,  Sanitation, 0, 0, 0, 0, 0, 0, 488400, 488400
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, ABHAUDOPURA, 42727, 3642685, Total, 0, 0, 0, 0, 0, 0, 2768400, 2768400
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 443000, 443000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Drinking water, 0, 0, 893750, 893750, 0, 0, 192000, 192000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Education, 0, 0, 0, 0, 0, 0, 384000, 384000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 227500, 227500
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Roads, 0, 0, 0, 0, 0, 0, 2093000, 2093000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Sanitation, 0, 0, 893750, 893750, 0, 0, 490000, 490000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Social forestry and farm forestry, 0, 0, 0, 0, 0, 0, 25000, 25000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Water Conservation, 0, 0, 0, 0, 0, 0, 79200, 79200
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423,  Women and child development, 0, 0, 0, 0, 0, 0, 180000, 180000
2021, UTTAR PRADESH, 9, AGRA, 109, ACHHNERA, 1386, AKABARA, 42728, 3533423, Total, 0, 0, 1787500, 1787500, 0, 0, 4113700, 4113700
