year, state, state_id, district_panchayat, district_panchayat_id, block_panchayat, block_panchayat_id, village_panchayat, village_panchayat_id, village_panchayat_budget_id, category, sctied, sttied, generaltied, totaltied, scuntied, stuntied, generaluntied, totaluntied
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 830000, 830000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Drinking water, 0, 0, 1285617, 1285617, 0, 0, 0, 0
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Roads, 0, 0, 0, 0, 0, 0, 6042810, 6042810
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Rural electrification, 0, 0, 0, 0, 0, 0, 225308, 225308
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Sanitation, 0, 0, 4399691, 4399691, 0, 0, 666915, 666915
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Social welfare, 0, 0, 0, 0, 0, 0, 20000, 20000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Total, 0, 0, 5685308, 5685308, 0, 0, 8525033, 8525033
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, ADHATA, 107777, 3392395, Women and child development, 0, 0, 0, 0, 0, 0, 740000, 740000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 1010000, 1010000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Agriculture, 0, 0, 0, 0, 0, 0, 180000, 180000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Drinking water, 0, 0, 2632805, 2632805, 0, 0, 771286, 771286
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Education, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Health, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Roads, 0, 0, 0, 0, 0, 0, 5565610, 5565610
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Sanitation, 0, 0, 2632805, 2632805, 0, 0, 745049, 745049
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Total, 0, 0, 5265610, 5265610, 0, 0, 8671945, 8671945
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, AMDANGA, 107778, 3378462, Women and child development, 0, 0, 0, 0, 0, 0, 250000, 250000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 1120000, 1120000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Drinking water, 0, 0, 3196815, 3196815, 0, 0, 80000, 80000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Health, 0, 0, 0, 0, 0, 0, 650000, 650000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Maintenance of community system, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Roads, 0, 0, 0, 0, 0, 0, 37527918, 37527918
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Rural electrification, 0, 0, 0, 0, 0, 0, 393629, 393629
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Sanitation, 0, 0, 3196814, 3196814, 0, 0, 470000, 470000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Technical training and vocational education, 0, 0, 0, 0, 0, 0, 80000, 80000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Total, 0, 0, 6393629, 6393629, 0, 0, 40921547, 40921547
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, BERABERIA, 107779, 3391268, Women and child development, 0, 0, 0, 0, 0, 0, 500000, 500000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 640000, 640000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Drinking water, 0, 0, 3459391, 3459391, 470305, 0, 100000, 570305
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Education, 0, 0, 0, 0, 0, 0, 110000, 110000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Fisheries, 0, 0, 0, 0, 0, 0, 351270, 351270
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, GP Office Infrastructure, 0, 0, 0, 0, 0, 0, 700000, 700000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Health, 0, 0, 0, 0, 0, 0, 160000, 160000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Land improvement, 0, 0, 0, 0, 0, 0, 600000, 600000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Roads, 0, 0, 0, 0, 350000, 0, 5918781, 6268781
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Rural electrification, 0, 0, 0, 0, 0, 0, 80000, 80000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Sanitation, 0, 0, 3459391, 3459391, 0, 0, 110000, 110000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Total, 0, 0, 6918782, 6918782, 820305, 0, 8920051, 9740356
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, CHANDIGARH, 107781, 3390673, Women and child development, 0, 0, 0, 0, 0, 0, 150000, 150000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 1189000, 1189000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Drinking water, 0, 0, 2544688, 2544688, 0, 0, 100000, 100000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Education, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Family welfare, 0, 0, 0, 0, 0, 0, 10000, 10000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Health, 0, 0, 0, 0, 0, 0, 130000, 130000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Roads, 0, 0, 0, 0, 0, 0, 6371980, 6371980
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Sanitation, 0, 0, 2544687, 2544687, 0, 0, 190000, 190000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Total, 0, 0, 5089375, 5089375, 0, 0, 8160980, 8160980
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Welfare of the weaker sections, 0, 0, 0, 0, 0, 0, 20000, 20000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, MARICHA, 107782, 3307496, Women and child development, 0, 0, 0, 0, 0, 0, 100000, 100000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, SADHANPUR, 107783, 3382389, Administrative & Technical Support, 0, 0, 0, 0, 0, 0, 445000, 445000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, SADHANPUR, 107783, 3382389, Agriculture, 0, 0, 0, 0, 0, 0, 50000, 50000
2021, WEST BENGAL, 19, 24 PARAGANAS NORTH, 263, AMDANGA, 3095, SADHANPUR, 107783, 3382389, Cultural activities, 0, 0, 0, 0, 0, 0, 35000, 35000
