villageidstring,villageid,villageidrepeat,q13,q14,q1,q6,q5
2101,2101,02-01-2001,1,1,Karhavajag,2,7
2102,2102,02-01-2003,1,1,Naroli grampanchayat,2,7
2103,2103,02-01-2003,1,1,Dhakle grampanchayat,2,7
2104,2104,02-01-2004,1,1,Ghadgewadi grampanchayat,2,7
2105,2105,02-01-2005,1,1,Baburdi,2,7
2106,2106,02-01-2006,1,1,Gojubavi grampanchayat,2,7
2107,2107,02-01-2007,1,1,Barnapur,2,7
2108,2108,02-01-2008,1,1,Medad grampanchayat,2,7
2109,2109,02-01-2009,1,1,Shirsane,2,8
2110,2110,02-01-2010,1,1,Dhumalwadi grampanchayat,2,7
2111,2111,02-01-2011,1,1,Zarakadawadi,2,7
2112,2112,02-01-2012,1,1,Katewadi,2,7
2113,2113,02-01-2013,1,1,Malegaon budruk grampanchayat,2,7
2114,2114,02-01-2014,1,1,Gadikhel,2,7
2115,2115,0-2-15,1,1,Sonakasawadi,2,7
2116,2116,02-01-2016,1,1,Undavadi supe,2,7
2117,2117,02-01-2017,1,1,Dorlewadi,2,7
2118,2118,02-01-2018,1,1,Anjangaon grampanchayat,2,7
2119,2119,02-01-2019,1,1,Pawaimal grampanchayat,2,7
2120,2120,02-01-2020,1,1,Deulgaon grampanchayat,2,7
2121,2121,02-01-2021,1,1,Kurnewadi,2,7
2122,2122,02-01-2022,1,1,Magarwadi,2,7
2123,2123,02-01-2023,1,1,Kutwalwadi grampanchayat,2,7
2124,2124,02-01-2024,1,1,Vaki,2,7
2201,2201,02-02-2001,1,1,Pilanwadi,2,8
2202,2202,02-02-2002,1,1,Undavadi,2,8
2203,2203,02-02-2003,1,1,Deulgaon gada,2,8
2204,2204,02-02-2004,1,1,Hatvalan,2,8
2205,2205,02-02-2005,1,1,Nanvij,2,8
2206,2206,02-02-2006,1,1,Dalimb,2,8
2207,2207,02-02-2007,1,1,Paragao,2,8
2208,2208,02-02-2008,1,1,Boripardhi,2,8
2209,2209,02-02-2009,1,1,Devulgaon raje,2,8
2210,2210,02-02-2010,1,1,Pandharewadi,2,8
2211,2211,02-02-2011,1,1,Hingni Berdi,2,8
2212,2212,02-02-2012,1,1,Kadethan,2,8
2213,2213,02-02-2013,1,1,Devkarwadi,2,8
2214,2214,02-02-2014,1,1,Varvand,2,8
2215,2215,02-02-2015,1,1,Bharatgoan,2,8
2216,2216,02-02-2016,1,1,Birobachiwadi,2,8
2217,2217,02-02-2017,1,1,Gopalwadi,2,8
2218,2218,02-02-2018,1,1,Khopodi,2,8
2219,2219,02-02-2019,1,1,Kauthadi,2,8
2220,2220,02-02-2020,1,1,Jiregaon,2,8
2221,2221,02-02-2021,1,1,Ravangav,2,8
2222,2222,02-02-2022,1,1,Patas,2,8
2223,2223,02-02-2023,1,1,Lonarwadi,2,8
2224,2224,02-02-2024,1,1,Vasunde,2,8
2225,2225,02-02-2025,1,1,Kedgoan,2,8
2302,2302,232,1,1,Gulani,2,10
2303,2303,233,1,1,Ranmala,2,10
2304,2304,234,1,1,SIDDHEGAVHAN,2,10
2305,2305,235,1,1,Yeniye bk,2,10
2306,2306,236,1,1,Vafagoav,2,10
2307,2307,237,1,1,Kadus,2,10
2308,2308,238,1,1,Davadi,2,10
2309,2309,239,1,1,Papalwadi,2,10
2311,2311,2311,1,1,Mahalunge Engle,2,10
2312,2312,2312,1,1,Kalus,2,10
2313,2313,2313,1,1,Rohkal,2,10
2314,2314,2314,1,1,Ahire,2,10
2315,2315,2315,1,1,Gosasi,2,10
2316,2316,2316,1,1,Kelgoav,2,10
2317,2317,2317,1,1,Vetale,2,10
2318,2318,2318,1,1,Yeniye kh,2,10
2319,2319,2319,1,1,Kadachi wadi,2,10
2320,2320,2320,1,1,Mohkal,2,10
2321,2321,2321,1,1,Nimgaon,2,10
2322,2322,2322,1,1,Bhamboli,2,10
2323,2323,2323,1,1,Gadakwadi,2,10
2324,2324,2324,1,1,Bahirwadi,2,10
2325,2325,2325,1,1,Nighoje,2,10
2402,2402,242,1,1,Andgaon,2,9
2406,2406,246,1,1,Kasaraamboli,2,9
2407,2407,247,1,1,Uravade,2,9
2409,2409,249,1,1,Paud,2,9
2411,2411,2411,1,1,Chale,2,9
2412,2412,2412,1,1,Malegao,2,9
2413,2413,2413,1,1,Sathesai,2,9
2414,2414,2414,1,1,Marnewadi,2,9
2415,2415,2415,1,1,Kolawade,2,9
2416,2416,2416,1,1,Akole,2,9
2419,2419,02-04-2019,1,1,Hadashi,2,9
2422,2422,2422,1,1,Maan,2,9
2423,2423,2423,1,1,Mhalunge,2,9
2501,2501,02-05-2001,1,1,Gunand grampanchayat,2,6
2502,2502,02-05-2002,1,1,Tambhad,2,6
2503,2503,02-05-2003,1,1,Aalande grampanchayat,2,6
2504,2504,02-05-2004,1,1,Pande grampanchayat,2,6
2505,2505,02-05-2005,1,1,Kambre kheba,2,6
2506,2506,02-05-2006,1,1,Sarole,2,6
2507,2507,02-05-2007,1,1,Angsule,2,6
2508,2508,02-05-2008,1,1,Ingavale,2,6
2510,2510,02-05-2010,1,1,Male grampanchayat,2,6
2511,2511,02-05-2011,1,1,Panval,2,6
2512,2512,02-05-2012,1,1,Salungan,2,6
2513,2513,02-05-2013,1,1,Pisavare,2,6
2514,2514,02-05-2014,1,1,Kamthadi,2,6
2515,2515,02-05-2015,1,1,Harishchandri,2,8
2516,2516,02-05-2016,1,1,Velvand,2,6
2517,2517,02-05-2017,1,1,Pale,2,6
2518,2518,02-05-2018,1,1,Palsoshi,2,6
2519,2519,02-05-2019,1,1,Morawadi,2,6
2521,2521,02-05-2021,1,1,Ambade,2,6
2522,2522,02-05-2022,1,1,Nere,2,6
7998,7998,2310,1,1,Golegoav,2,10
7999,7999,231,1,1,Rase,2,10
9881,9881,,1,1,Vadakbal,1,3
9882,9882,,1,1,Chiku grampanchayat,1,5
9883,9883,,1,1,Binjager,1,2
9884,9884,,1,1,Telgaaon(m)grampanchayat,1,3
9885,9885,,1,1,Grampanchayat hotagi sawatkhed,1,3
9886,9886,,1,1,Ramhigane,1,5
9887,9887,,1,1,Ahergaon (bhoinje) grampanchayat,1,1
9888,9888,,1,1,Sapatne(bho) grampanchayat,1,1
9889,9889,,1,1,Solankarwadi,1,1
9890,9890,,1,1,Ujani ma,1,1
9891,9891,,1,1,Vadachi wadi,1,1
9892,9892,,1,1,Sultanpur grampanchayt,1,1
9893,9893,,1,1,Bhutashte,1,1
9894,9894,,1,1,Uandrwava,1,1
9895,9895,,1,1,Wadachiwadi grampanchayat,1,5
9896,9896,,1,1,Bhambewadi,1,5
9897,9897,,1,1,bhosare,1,1
9898,9898,,1,1,Bagehalli,1,2
9899,9899,,1,1,Budurukwadi,1,1
9900,9900,,1,1,Aakulgaon,1,1
9901,9901,,1,1,Kuranwadi ( Angar ),1,5
9902,9902,,1,1,Darfal,1,1
9903,9903,,1,1,lual,1,1
9904,9904,,1,1,Rajur grampanchayat,1,3
9905,9905,,1,1,Maihisgaon,1,1
9906,9906,,1,1,Fatatewadi grampanchayat,1,3
9907,9907,,1,1,Kurdu grampanchayt,1,1
9908,9908,,1,1,Diksal,1,5
9909,9909,,1,1,Nalbandwadi,1,5
9910,9910,,1,1,Wadachiwadi,1,1
9911,9911,,1,1,"Sayyad Warwade, Grampanchayat",1,5
9912,9912,,1,1,Bhend,1,1
9913,9913,,1,1,Bairagwadi grampanchayt,1,1
9914,9914,,1,1,Konheri Grampanchayat,1,5
9915,9915,,1,1,Ropale khurd,1,1
9916,9916,,1,1,Penur,1,5
9917,9917,,1,1,Chavhanawadi,1,5
9918,9918,,1,1,Warkute,1,5
9919,9919,,1,1,Kurul,1,5
9920,9920,,1,1,Vetalvadi grampanchayat,1,1
9921,9921,,1,1,Aanjangaon khe,1,1
9922,9922,,1,1,Grampanchayat Degaon,1,5
9923,9923,,1,1,Chincholi,1,1
9924,9924,,1,1,Londewadi,1,1
9925,9925,,1,1,Grampanchayat Shirapur Mo,1,5
9926,9926,,1,1,Shirdhon grampanchayt,1,4
9927,9927,,1,1,Gopalpur grampanchayt,1,4
9928,9928,,1,1,Jadhavvadi grampanchayat,1,4
9929,9929,,1,1,Bardi grampanchayat,1,4
9930,9930,,1,1,Morvanchi,1,5
9931,9931,,1,1,Chincholi kati,1,5
9932,9932,,1,1,tanbole,1,1
9933,9933,,1,1,Kasegoan,1,4
9934,9934,,1,1,Gatane,1,5
9935,9935,,1,1,Kondharki grampanchayat,1,4
9936,9936,,1,1,Ranjni grampanchayat,1,4
9937,9937,,1,1,Sonke grampanchayat,1,4
9938,9938,,1,1,Narakhed,1,5
9939,9939,,1,1,Gramapanchayat ashte,1,5
9940,9940,,1,1,shirapur,1,1
9941,9941,,1,1,Ajoti gram panchayt,1,4
9942,9942,,1,1,Keskarvadi grampanchayat,1,4
9943,9943,,1,1,Pokali,1,5
9944,9944,,1,1,Shelve grampanchayt,1,4
9945,9945,,1,1,Khedbhalvani,1,4
9946,9946,,1,1,Chilaiwadi Grampanchayt,1,4
9947,9947,,1,1,Hingani ( Ni ),1,5
9948,9948,,1,1,Vadikuroli,1,4
9949,9949,,1,1,Supali grampanchayat,1,4
9950,9950,,1,1,jeur,1,2
9951,9951,,1,1,Lamboti,1,5
9952,9952,,1,1,Wakhari grampanchayt,1,4
9953,9953,,1,1,Bhandishegav grampanchayt,1,4
9954,9954,,1,1,Kauthali grampanchayat,1,4
9955,9955,,1,1,Takli,1,3
9956,9956,,1,1,Adhiv grampanchayt,1,4
9957,9957,,1,1,Takaligursal(n) grampanchayat,1,4
9958,9958,,1,1,Dindur,1,3
9959,9959,,1,1,Eklaspur,1,4
9960,9960,,1,1,Mundhewadi grampanchayt,1,4
9961,9961,,1,1,Chapalgaon,1,2
9962,9962,,1,1,Hattur,1,3
9963,9963,,1,1,Shirgav,1,4
9964,9964,,1,1,Torani,1,2
9965,9965,,1,1,Shirshi,1,2
9966,9966,,1,1,Mandrup,1,3
9967,9967,,1,1,Konli,1,2
9968,9968,,1,1,Sadlapur,1,2
9969,9969,,1,1,Palapur,1,2
9970,9970,,1,1,Hanamgaon,1,3
9971,9971,,1,1,Togralli,1,3
9972,9972,,1,1,Kadabgaon Grampanchyat,1,2
9973,9973,,1,1,Grampanachayat Varalegav,1,3
9974,9974,,1,1,Sulerjavalge grampanchayt,1,2
9975,9975,,1,1,"Udagi, Akkalkot",1,2
9976,9976,,1,1,Davadevadi,1,3
9977,9977,,1,1,Mulegav tanda,1,3
9978,9978,,1,1,Vadaji Grampanchayat,1,3
9979,9979,,1,1,Banjgol,1,2
9980,9980,,1,1,"Umarge, Akkalkot",1,2
9981,9981,,1,1,Chukkkehali,1,2
9982,9982,,1,1,Balgi,1,3
9983,9983,,1,1,Karkal grampanchayat,1,3
9984,9984,,1,1,Sindkhed,1,3
9985,9985,,1,1,Mulegaon,1,3
9986,9986,,1,1,Hasapur,1,2
9987,9987,,1,1,Nimgav grampanchayt,1,2
9988,9988,,1,1,Shirvalwadi,1,2
9989,9989,,1,1,Dhotri,1,3
9990,9990,,1,1,Ramapur,1,3
9991,9991,,1,1,Vagdari,1,2
9992,9992,,1,1,Shankarnagar grampanchayat,1,3
9993,9993,,1,1,Halchincholi,1,2
9994,9994,,1,1,Grampanchayat Kiniwadi,1,2
9995,9995,,1,1,Vadval,1,5
9996,9996,,1,1,"Kajikanbas, Akkalkot",1,2
9997,9997,,1,1,Badole budruk,1,2
9998,9998,,1,1,Kanbas,1,3
9999,9999,,1,1,Madre,1,3
